application_id_enhancement_5_2_or_revision,application_date,name_of_developers,gna_st_ii_application_id,lta_application_id,voltage_level_kv,substation,state,region,nature_of_applicant,application_quantum_mw,cmets_gna_approved,cmets_gna_meeting_date,battery_injection_mw,installed_breakup_solar_mw,installed_breakup_wind_mw,type,date_for_additional_capacity,status_of_application,granted_quantum_mw,gna_operationalization_date,gna_operationalization_yes_no,installed_breakup_hybrid_mw,_partial_row,applied_start_date,ats_element_unique_code,dtl_element_unique_code,cts_element_unique_code,mode_criteria,_explicit_type_breakup,_capacity_headline_total
,22.05.2025,Waaree Forever Energies Private Limited,2200002072,,400.0,Bhadla-V,Rajasthan,NR,"Generating station, including REGS, with ESS",200.0,39.0,28.07.2025,100.0,220.0,,Solar+BESS,,Granted,200.0,22.05.2025,Yes,,,31.12.2032,,"EL-3DCF1, EL-28727","EL-654AA, EL-A9814, EL-3CFCF, EL-2D90B, EL-5523F, EL-75882, EL-0BF7F, EL-65D44, EL-C8513",Land BG route,True,
,23.05.2025,Waaree Forever Energies Private Limited,2200002080,,220.0,Bhadla-VI,Rajasthan,NR,"Generating station, including REGS, with ESS",300.0,39.0,28.07.2025,150.0,300.0,,Solar+BESS,,Granted,300.0,30.06.2032,No,,,31.12.2031,,"EL-3DCF1, EL-28727","EL-DD246, EL-DEBDE, EL-24C0A, EL-6FD3E, EL-8BF2F, EL-5523F, EL-F92C8, EL-0BF7F, EL-A4E7D, EL-61F37",Land BG route,True,
,28.05.2025,Hinduja Renewables Energy Private Limited,2200002093,,220.0,Barmer-I,Rajasthan,NR,"Generating station, including REGS, without ESS",50.0,39.0,28.07.2025,,50.0,,Solar,,Granted,50.0,31.03.2028,No,,,31.03.2028,,"EL-EB9F7, EL-9D9D5","EL-AB6F6, EL-04FBF, EL-E0593, EL-F7E56, EL-16E88, EL-58D2D, EL-9822D, EL-9770C, EL-DC188, EL-18929, EL-09B1D, EL-5EDC4, EL-A6F76, EL-A83CD, EL-5996E, EL-32FE8, EL-A495D, EL-74937, EL-84603, EL-06311, EL-7D000, EL-89109, EL-D7C90, EL-A7856, EL-20610, EL-9F569, EL-4B418, EL-FD36A, EL-6F66E, EL-8A11A, EL-F1096",Land BG route,True,
,28.05.2025,Vena Energy Konkan Wind Power Private Limited,2200002097,,220.0,Pali-I,Rajasthan,NR,Standalone ESS,300.0,39.0,28.07.2025,300.0,,,BESS,,Granted,300.0,30.06.2031,No,,,31.12.2030,,"EL-3FB44, EL-86667","EL-51561, EL-879F3, EL-F1C33, EL-C89B9, EL-F8BB6, EL-C5217, EL-DB837, EL-4B103, EL-00011",Land Route,True,
,29.05.2025,SA Renewable Infra Private Limited,2200002099,,220.0,Bikaner-V,Rajasthan,NR,"Generating station, including REGS, without ESS",20.0,39.0,28.07.2025,,20.0,,Solar,,Granted,20.0,31.10.2030,No,,,31.03.2030,,"EL-3466E, EL-149DB","EL-33D77, EL-85255, EL-26318, EL-83F06, EL-B8D32, EL-23675, EL-9893C, EL-745F8, EL-A346C, EL-905E4, EL-35672",Land Route,True,
,30.05.2025,Reliance Nu Energies Private Limited,2200002104,,220.0,Sanchore-I,Rajasthan,NR,"Generating station, including REGS, with ESS",350.0,39.0,28.07.2025,175.0,350.0,,Solar+BESS,,Granted,350.0,30.06.2031,No,,,31.12.2027,,"EL-7A64F, EL-4C729","EL-AD038, EL-48EFF, EL-7E7E2, EL-05218, EL-25665, EL-C5217, EL-0FE43, EL-4B103, EL-071AA",LOA or PPA,True,
,31.05.2025,Adani Renewable Energy Holding Twelve Limited,2200002111,,400.0,Sanchore-I,Rajasthan,NR,"Generating station, including REGS, without ESS",520.0,39.0,28.07.2025,,520.0,,Solar,,Granted,520.0,30.06.2031,No,,,30.06.2027,,"EL-95C39, EL-759C3","EL-AD038, EL-48EFF, EL-7E7E2, EL-05218, EL-25665, EL-C5217, EL-0FE43, EL-4B103, EL-071AA",LOA or PPA,True,
2200001968,22.04.2025,Serentica Renewables India Private Limited,1200003838,412100014,220.0,Bikaner-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",281.0,39.0,28.07.2025,140.0,180.0,,Solar+BESS,31.12.2026,Granted,281.0,31.12.2026,No,,,,,,,,True,
2200001970,24.04.2025,Juniper Green Cosmic Private Limited,1200003740,412100008,220.0,Bikaner-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",100.0,39.0,28.07.2025,25.39,100.0,,Solar+BESS,31.12.2025,Granted,100.0,31.12.2025,Yes,,,,,,,,True,
2200001984,28.04.2025,Solarcraft Power India 4 Private Limited,2200000300,,220.0,Bhadla-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",50.0,39.0,28.07.2025,50.0,50.0,,Solar+BESS,01.09.2028,Granted,50.0,,,,,,,,,,True,
