0,1,2,3,4,5,6
"State/District
Pooling Station
Identified	Potential	(GW)
Maximum 
BESS (GW) 
Evacuation 
Dispatch 
(to be set up 
System (GW)
Wind
Solar 
(GW)
by RE  
generators)",,,,,,
Karnataka,,,,,,
Koppal,Koppal-II,2,2,3,1,2
Gadag,Gadag-II,2,2,3,1,2
"Devanagere/ 
Chitragurga","Devanagere/ 
Chitragurga",2,2,3,1,2
Bijapur,Bijapur,2,0,2,,2
Bellary,Bellary,0,1.5,1.5,,1.5
Tumkur,Tumkur-II,0,1.5,1.5,,1.5
Sub Total (Karnataka),,8,9,14,3,11
