0,1,2,3,4,5,6
State/District,"Pooling  
Station","Identified	Potential	 
(GW)",,"Maximum  
Dispatch (GW)","BESS (GW)  
(to be set up by  
RE generators)","Evacuation 
System  
(GW)"
,,Wind,Solar,,,
Jaisalmer,Ramgarh,4,6,8,3,5
,Fatehgarh-IV,6,6,9,4,5
Barmer,Barmer-I,3,4,5.5,1.5,4
,Barmer-II,0,6,6,2,4
Intra-State,Jaisalmer/ Jodhpur,0,5,5,0,5
Sub Total (Rajasthan),,15,60,67.5,22.5,45
Total (Northern Region),,15,60,67.5,22.5,45
