0,1
Potential RE Zones,
"State/District 
Total Capacity (GW)",
Rajasthan,
Fatehgarh-I,1.2
Fatehgarh-II,4.5
Fatehgarh-III,1.9
Bhadla,1.05
Bhadla-II,3.55
Bikaner (PG),1.85
Bikaner-II,2.95
Intra- State,3
Sub total,20
Andhra Pradesh,
"Kurnool
5.5",
"Anantapur
2.5",
"Sub total
8",
Karnataka,
Gadag,2.5
Bidar,2.5
Koppal,2.5
Sub total,7.5
