0,1,2,3,4,5
Sl. No.,State,Wind (GW),Solar (GW),Total (GW),Remarks
1,Rajasthan,15,60,75,"45 GW  
(15 GW Wind & 30 
GW solar in GIB 
Zone)"
2,Andhra Pradesh,18,33,51,
3,Karnataka,8,9,17,
4,Tamil Nadu,5,,5,Offshore wind
5,Telangana,3,10,13,
6,Madhya Pradesh,2,6,8,
7,Gujarat,5,,5,Offshore wind
8,Maharashtra,2,5.5,7.5,
,Total,58,123.5,181.5,
