0,1,2,3,4,5,6
State/District,"Pooling  
Station","Identified	Potential	 
(GW)",,"Maximum 
Dispatch 
(GW)","BESS (GW) 
(to be set up 
by RE  
generators)","Evacuation 
System (GW)"
,,"Wind
Solar",,,,
Andhra Pradesh,,,,,,
Kurnool,"Kurnool-IV, 
Kurnool-V",8,15,18,6,12
Anantapur,"Anantapur, 
Anantapur-II",10,10,15,5,10
Kadapa,Kadapa-II,0,8,8,3,5
Sub Total (Andhra Pradesh),,18,33,41,14,27
