0,1
Potential RE Zones,
"State/District 
Total Capacity (GW)",
Rajasthan,
Fatehgarh,9.1
Bhadla,8
Ramgarh,2.9
Sub total,20
Ladakh,
"Leh 
13",
"Sub total
13",
Gujarat,
"Khavda
17.2",
"Dholera
4",
"Sub total
21.2",
Himachal Pradesh,
"Kaza
0.88",
"Sub total
0.88",
"Total
55.08",
