0,1,2,3,4,5,6
"State/District
Pooling  
Identified	Potential	 
Maximum 
BESS (GW) 
Evacuation 
Station
(GW)
Dispatch 
(to be set up 
System  
(GW)
by RE  
(GW)
Wind
Solar 
generators)",,,,,,
Telangana,,,,,,
Rangareddy,Rangareddy,1,2.5,3,1,2
Medak,Medak,1,2.5,3,1,2
Nizamabad,Nizamabad-II,1,2.5,3,1,2
Karimnagar,Karimnagar,0,2.5,2.5,,2.5
Sub Total (Telangana),,3,10,11.5,3,8.5
