0,1,2,3,4,5,6
"State/District
Pooling  
Identified	Potential	 
Maximum 
BESS (GW) 
Evacuation 
Station
(GW)
Dispatch 
(to be set up 
System  
(GW)
by RE  
(GW)    
Wind
Solar 
generators)",,,,,,
Madhya Pradesh,,,,,,
Neemuch,Neemuch,2,0,2,0,2
Sagar,Sagar,,1.5,1.5,0,1.5
Morena,Morena,0,3.9,3.9,0,3.9
Khandwa,Khandwa,,0.6,0.6,0,0.6
Sub Total (Madhya Pradesh),,2,6,8,0,8
