0,1,2,3,4,5,6,7,8,9
568,2200000765,SJVN GREEN ENERGY LIMITED,WR,Solar,500,500,Lakadia-II (Sec-II),Gujarat,31-10-27
569,2200000978,HERO SOLAR ENERGY PRIVATE LIMITED,WR,Hybrid (RHGS),272.8,270,Lakadia-II (Sec-II),Gujarat,31-10-27
570,2200000986,BN DISPATCHABLE-2 PRIVATE LIMITED,WR,Hybrid (RHGS),250,250,Lakadia-II (Sec-II),Gujarat,31-10-27
571,2200001004,HERO SOLAR ENERGY PRIVATE LIMITED,WR,Hybrid (RHGS),272.8,270,Lakadia-II (Sec-II),Gujarat,31-10-27
572,2200000987,BN PEAK POWER-2 PRIVATE LIMITED,WR,Hybrid (RHGS),250,250,Lakadia-II (Sec-II),Gujarat,31-10-27
573,2200001071,ADANI RENEWABLE ENERGY TEN LIMITED,WR,Wind,225,225,Lakadia-II (Sec-II),Gujarat,31-10-27
574,2200001093,HERO SOLAR ENERGY PRIVATE LIMITED,WR,Solar,150,150,Lakadia-II (Sec-II),Gujarat,31-10-27
575,2200001127,HERO SOLAR ENERGY PRIVATE LIMITED,WR,Hybrid (RHGS),139,130,Lakadia-II (Sec-II),Gujarat,31-10-27
576,2200001135,JUNIPER GREEN ENERGY PRIVATE LIMITED,WR,Solar,350,350,"Solapur PS (400 
Sec-II)",Maharashtra,31-10-27
577,2200001223,TORRENT URJA 18 PRIVATE LIMITED,WR,Hybrid (RHGS),650,500,"Solapur PS (400 
Sec-II)",Maharashtra,31-10-27
578,2200001359,"UNIQUE HYBRID GLOBAL RENEWABLE ENERGY
PRIVATE LIMITED",WR,Solar,390,340,"Solapur PS (400 
Sec-II)",Maharashtra,31-10-27
579,2200000988,RENEW SOLAR POWER PRIVATE LIMITED,WR,Solar,300,300,Raghanesda PS,Gujarat,30-11-27
580,2200000869,GANEKO THREE ENERGY PRIVATE LIMITED,SR,Hybrid (RHGS),354,300,Anantapur-II PS,Andhra Pradesh 31-12-27,
581,2200000762,AMPIN ENERGY UTILITY PRIVATE LIMITED,SR,Hybrid (RHGS),185.4,150,Bidar PS,Karnataka,31-12-27
582,2200000763,AMPIN ENERGY UTILITY PRIVATE LIMITED,SR,Hybrid (RHGS),185.4,150,Bidar PS,Karnataka,31-12-27
583,2200000892,AMPIN ENERGY UTILITY PRIVATE LIMITED,SR,Hybrid (RHGS),185.4,150,Bidar PS,Karnataka,31-12-27
584,2200000893,AMP ENERGY C&I THIRTEEN PRIVATE LIMITED,SR,Hybrid (RHGS),68.9,50,Bidar PS,Karnataka,31-12-27
585,2200000708,SUNSURE SOLARPARK RJ ONE PRIVATE LIMITED,SR,Wind,48,48,Bijapur PS,Karnataka,31-12-27
586,2200000917,INDIANOIL NTPC GREEN ENERGY PRIVATE LIMITED,WR,Wind,207.9,207,"Jam Khambhaliya 
PS",Gujarat,31-12-27
587,2200000913,K.P. ENERGY LIMITED,WR,Wind,100,100,"Jam Khambhaliya 
PS",Gujarat,31-12-27
588,2200000967,TATA POWER RENEWABLE ENERGY LIMITED,SR,Wind,82.5,82,Karur PS,Tamil Nadu,31-12-27
589,2200001023,NANNAI SOLAR PARK PRIVATE LIMITED,SR,Wind,57,57,Karur PS,Tamil Nadu,31-12-27
590,2200001033,NAVALADI WIND PARK PRIVATE LIMITED,SR,Wind,100,100,Karur PS,Tamil Nadu,31-12-27
591,2200001099,PRATAPATI ENERGY (SEVEN) PRIVATE LIMITED,SR,Hybrid (RHGS),354,300,Kurnool-IV PS,Andhra Pradesh 31-12-27,
592,2200000879,JUNIPER GREEN ENERGY PRIVATE LIMITED,NR,Solar,300,300,Merta-II,Rajasthan,31-12-27
593,2200001137,MFA RENEWABLES PRIVATE LIMITED,WR,Wind,297,297,Jamnagar S/s,Gujarat,01-01-28
594,2200001189,OPWIND ENERGY PRIVATE LIMITED,WR,Hybrid (RHGS),254,254,Jamnagar S/s,Gujarat,01-01-28
595,2200001230,KADODIYA WIND ENERGY PRIVATE LIMITED,WR,Wind,100,100,Jamnagar S/s,Gujarat,01-01-28
