0,1,2,3,4,5,6,7,8,9
219,2200000481,TATA POWER RENEWABLE ENERGY LIMITED,SR,Hybrid (RHGS),"232.5 
(Solar:200, 
BESS:32.5MW)",232,Koppal-II PS,Karnataka,02-03-26
220,2200000213,SOLARCRAFT POWER INDIA 7 PRIVATE LIMITED,WR,Wind,50,50,"Solapur PS (400 
Sec-I)",Maharashtra,20-03-26
221,2200000270,SOLARCRAFT POWER INDIA 7 PRIVATE LIMITED,WR,Wind,52.8,52,"Solapur PS (400 
Sec-I)",Maharashtra,20-03-26
222,2200000409,SOLARCRAFT POWER INDIA 7 PRIVATE LIMITED,WR,Wind,47.2,47,"Solapur PS (400 
Sec-I)",Maharashtra,20-03-26
223,2200000356,VEH DAMEN POWER PRIVATE LIMITED,WR,Wind,76.8,76,"Pachora PS (Sec-
I)","Madhya 
Pradesh",30-03-26
224,2200000032,RENEW VIKRAM SHAKTI PRIVATE LIMITED,SR,Hybrid (RHGS),"Solar-750MW, 
Wind:960MW, 
BESS-288)",1484,Anantapur PS,Andhra Pradesh 31-03-26,
225,2200000271,ABC CLEANTECH PRIVATE LIMITED,SR,Wind,250,250,Anantapur PS,Andhra Pradesh 31-03-26,
226,2200000273,ABC CT RE PARK (03) PRIVATE LIMITED,SR,Wind,250,250,Anantapur PS,Andhra Pradesh 31-03-26,
227,212100040,JSW Renew Energy Five Limited,NR,Storage,250,250,Fatehgarh-III,Rajasthan,31-03-26
228,"412100010 (St-II: 1200003827, 
1200003910, 1200003958, 0312100010 
& 0312100012)",Juniper Green Stellar Private Limited,NR,Hybrid (RHGS),150,150,"Fatehgarh-IV (Sec-
I)",Rajasthan,31-03-26
229,2200000298,RENEW SAMIR URJA PRIVATE LIMITED,WR,Wind,300,300,Indore (PG),"Madhya 
Pradesh",31-03-26
230,2200001148,JSW RENEW ENERGY THIRTEEN LIMITED,WR,Solar,300,300,Solapur PG,Maharashtra,31-03-26
231,2200001158,WAAREE FOREVER ENERGIES PRIVATE LIMITED,WR,Solar,1000,700,Solapur PG,Maharashtra,31-03-26
232,231400016,JSW Renew Energy Three Limited,WR,Wind,200,0,Solapur PS,Maharashtra,31-03-26
233,2200000718,JSW NEO ENERGY LIMITED,WR,Wind,300,300,"Solapur PS (400 
Sec-I)",Maharashtra,31-03-26
234,2200000440,SOLARCRAFT POWER INDIA 16 PVT. LTD.,WR,Hybrid (RHGS) Wind - 191.4,"MW, Solar - 56 
MW, BESS - 91 
MW)",150,"Solapur PS (400 
Sec-I)",Maharashtra,01-04-26
235,2200001047,SOLARCRAFT POWER INDIA 16 PRIVATE LIMITED,WR,Hybrid (RHGS),247.4,35,"Solapur PS (400 
Sec-I)",Maharashtra,01-04-26
236,2200000566,NTPC RENEWABLE ENERGY LIMITED,WR,Wind,20,10,Bhuj PS,Gujarat,16-04-26
237,2200000759,SAEL INDUSTRIES LIMITED,SR,Solar,300,300,Bidar PS,Karnataka,22-04-26
238,2200000311,TEQ GREEN POWER XVII PRIVATE LIMITED,WR,Hybrid (RHGS),"300
(200MW Solar",300,Lakadiya PS,Gujarat,30-04-26
