0,1,2,3,4,5,6,7,8,9
749,2200001372,ROHAT SOLAR PARK PRIVATE LIMITED,NR,Solar,350,350,Barmer-III,Rajasthan,30-09-30
750,2200001407,"UNIQUE HYTECH RENEWABLE ENERGY PRIVATE 
LIMITED",NR,Wind,150,150,Barmer-III,Rajasthan,30-09-30
751,2200001440,POKHRAN WIND ENERGY PRIVATE LIMITED,NR,Wind,99,99,Barmer-III,Rajasthan,30-09-30
752,2200001503,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,300,300,Barmer-III,Rajasthan,30-09-30
753,2200001557,APRAAVA ENERGY PRIVATE LIMITED,NR,Solar,300,300,Barmer-III,Rajasthan,30-09-30
754,2200001622,"UNIQUE HYTECH RENEWABLE ENERGY PRIVATE 
LIMITED",NR,Hybrid (RHGS),1000,1000,Barmer-III,Rajasthan,30-09-30
755,2200001087,TEQ GREEN POWER XV PRIVATE LIMITED,NR,Solar,300,300,Jalore,Rajasthan,30-09-30
756,2200001284,VISMAYA FOUR RENEWABLES PRIVATE LIMITED,NR,Solar,50,50,Bhadla-IV,Rajasthan,01-10-30
757,2200000954,VISMAYA FIVE RENEWABLES PRIVATE LIMITED,NR,Solar,250,250,Barmer-II,Rajasthan,31-10-30
758,2200001285,VISMAYA FIVE RENEWABLES PRIVATE LIMITED,NR,Solar,50,50,Barmer-II,Rajasthan,31-12-30
759,2200001057,"FOXTROT SOLAR RENEWABLES ENERGY PRIVATE 
LIMITED",NR,Solar,100,100,Barmer-III,Rajasthan,31-12-30
760,2200001141,"GREEN INFRA RENEWABLE ENERGY FARMS PRIVATE 
LIMITED",NR,Solar,300,300,Barmer-III,Rajasthan,31-12-30
761,2200001194,"GREEN INFRA RENEWABLE ENERGY FARMS PRIVATE 
LIMITED",NR,Solar,300,300,Barmer-III,Rajasthan,31-12-30
762,2200001188,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,250,250,Barmer-III,Rajasthan,31-12-30
763,2200001252,"FOXTROT SOLAR RENEWABLES ENERGY PRIVATE 
LIMITED",NR,Solar,74,74,Barmer-III,Rajasthan,31-12-30
764,2200000860,ENREN-III ENERGY PRIVATE LIMITED,NR,Solar,300,300,Merta-III,Rajasthan,31-03-31
765,2200001089,TEQ GREEN POWER XV PRIVATE LIMITED,NR,Solar,300,300,Pali,Rajasthan,31-03-31
766,2200001100,DIYOS THREE RENEWABLES PRIVATE LIMITED,NR,Solar,300,300,Pali,Rajasthan,01-04-31
767,2200001417,SPRNG GREEN ENERGY 4 PRIVATE LIMITED,NR,Solar,400,400,Bhadla-V,Rajasthan,30-06-31
768,2200001464,AVAADA ENERGY PRIVATE LIMITED,NR,Solar,1000,1000,Bhadla-V,Rajasthan,30-06-31
769,2200001088,"FOXTROT SOLAR RENEWABLES ENERGY PRIVATE 
LIMITED",NR,Solar,80,80,Barmer-III,Rajasthan,31-12-31
771,2200000890,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,100,100,Jalore,Rajasthan,30-06-30
772,2200001006,SPRNG VAAYU URJA PRIVATE LIMITED,NR,Solar,600,600,Jalore,Rajasthan,30-06-30
773,2200001161,SPRNG VAYU KIRAN PRIVATE LIMITED,WR,Solar,200,200,Raghanesda PS,Gujarat,30-06-30
774,2200000946,HR SARASWATI ENERGY PRIVATE LIMITED,NR,Solar,300,300,Sanchore,Rajasthan,30-06-30
775,2200001026,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,200,200,Barmer-III,Rajasthan,30-09-30
776,2200001300,TEQ GREEN POWER IX PRIVATE LIMITED,NR,Solar,208.5,208,Barmer-III,Rajasthan,30-09-30
777,2200001352,AVAADA ENERGY PRIVATE LIMITED,NR,Solar,750,750,Barmer-III,Rajasthan,30-09-30
778,2200001366,ACME GAMMA URJA PRIVATE LIMITED,NR,Solar,350,350,Barmer-III,Rajasthan,30-09-30
779,2200001398,ENREN-IV ENERGY PRIVATE LIMITED,NR,Solar,300,300,Barmer-III,Rajasthan,30-09-30
780,2200001422,AVAADA ENERGY PRIVATE LIMITED,NR,Solar,800,800,Barmer-III,Rajasthan,30-09-30
781,2200001372,ROHAT SOLAR PARK PRIVATE LIMITED,NR,Solar,350,350,Barmer-III,Rajasthan,30-09-30
782,2200001407,"UNIQUE HYTECH RENEWABLE ENERGY PRIVATE 
LIMITED",NR,Wind,150,150,Barmer-III,Rajasthan,30-09-30
783,2200001440,POKHRAN WIND ENERGY PRIVATE LIMITED,NR,Wind,99,99,Barmer-III,Rajasthan,30-09-30
784,2200001503,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,300,300,Barmer-III,Rajasthan,30-09-30
785,2200001557,APRAAVA ENERGY PRIVATE LIMITED,NR,Solar,300,300,Barmer-III,Rajasthan,30-09-30
786,2200001622,"UNIQUE HYTECH RENEWABLE ENERGY PRIVATE 
LIMITED",NR,Hybrid (RHGS),1000,1000,Barmer-III,Rajasthan,30-09-30
787,2200001087,TEQ GREEN POWER XV PRIVATE LIMITED,NR,Solar,300,300,Jalore,Rajasthan,30-09-30
788,2200001284,VISMAYA FOUR RENEWABLES PRIVATE LIMITED,NR,Solar,50,50,Bhadla-IV,Rajasthan,01-10-30
789,2200000954,VISMAYA FIVE RENEWABLES PRIVATE LIMITED,NR,Solar,250,250,Barmer-II,Rajasthan,31-10-30
790,2200001786,ADYANT ENERSOL PRIVATE LIMITED,NR,Solar,150,150,Bikaner-V,Rajasthan,31-10-30
791,2200001717,JIRE GREEN ENERGY PROJECT THREE LIMITED,NR,Solar,200,200,Ramgarh-II,Rajasthan,31-10-30
792,2200001735,WAAREE FOREVER ENERGIES PRIVATE LIMITED,NR,Hybrid (RHGS),600,600,Ramgarh-II,Rajasthan,31-10-30
793,2200001285,VISMAYA FIVE RENEWABLES PRIVATE LIMITED,NR,Solar,50,50,Barmer-II,Rajasthan,31-12-30
794,2200001057,"FOXTROT SOLAR RENEWABLES ENERGY PRIVATE 
LIMITED",NR,Solar,100,100,Barmer-III,Rajasthan,31-12-30
795,2200001141,"GREEN INFRA RENEWABLE ENERGY FARMS PRIVATE 
LIMITED",NR,Solar,300,300,Barmer-III,Rajasthan,31-12-30
796,2200001194,"GREEN INFRA RENEWABLE ENERGY FARMS PRIVATE 
LIMITED",NR,Solar,300,300,Barmer-III,Rajasthan,31-12-30
797,2200001188,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,250,250,Barmer-III,Rajasthan,31-12-30
798,2200001252,"FOXTROT SOLAR RENEWABLES ENERGY PRIVATE 
LIMITED",NR,Solar,74,74,Barmer-III,Rajasthan,31-12-30
