0,1,2,3,4,5,6,7,8,9
675,2200001086,AVAADA WATERBATTERY PRIVATE LIMITED,NR,Pump Storage,520,596,Robertsganj,UP,30-06-29
676,2200000408,GREEN INFRA CLEAN SOLAR FARMS LIMITED,NR,Solar,130,130,Barmer-II,Rajasthan,31-12-29
677,2200000636,AVAADA ENERGY PRIVATE LIMITED,NR,Solar,450,450,Barmer-II,Rajasthan,31-12-29
678,2200000681,SPRNG URJA PRIVATE LIMITED,NR,Solar,1000,1000,Barmer-II,Rajasthan,31-12-29
679,2200000810,"ADANI RENEWABLE ENERGY HOLDING FOUR
LIMITED",NR,Solar,717,717,Barmer-II,Rajasthan,31-12-29
680,2200000906,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,500,500,Barmer-II,Rajasthan,31-12-29
681,2200000531,SPRNG RENEWABLE RESOURCES PRIVATE LIMITED,NR,Solar,200,200,Barmer-II,Rajasthan,31-12-29
682,2200000539,SPRNG URJA PRIVATE LIMITED,NR,Solar,200,200,Barmer-II,Rajasthan,31-12-29
683,2200000567,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,300,300,Barmer-II,Rajasthan,31-12-29
684,2200000580,AVAADA ENERGY PRIVATE LIMITED,NR,Solar,500,200,Barmer-II,Rajasthan,31-12-29
685,2200000715,"AMARESHA RENAWABLES INDIA PROJECT PRIVATE 
LIMITED",NR,Solar,300,300,Barmer-II,Rajasthan,31-12-29
686,2200000778,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,300,300,Barmer-II,Rajasthan,31-12-29
687,2200000809,ADANI RENEWABLE ENERGY TWO LIMITED,NR,Wind,595,595,Barmer-II,Rajasthan,31-12-29
688,2200000807,ADANI RENEWABLE ENERGY TWO LIMITED,NR,Wind,600,600,Barmer-II,Rajasthan,31-12-29
689,2200000475,SAURYA URJA COMPANY OF RAJASTHAN LIMITED,NR,Solar,400,400,Bikaner-V,Rajasthan,31-12-29
690,2200000484,IRAAX INTERNATIONAL (OPC) PRIVATE LIMITED,NR,Solar,100,100,Bikaner-V,Rajasthan,31-12-29
691,2200000540,IRAAX INTERNATIONAL (OPC) PRIVATE LIMITED,NR,Solar,150,150,Bikaner-V,Rajasthan,31-12-29
692,2200000561,AVAADA RJBIKANER PRIVATE LIMITED,NR,Solar,136,136,Bikaner-V,Rajasthan,31-12-29
693,2200001128,ADITYA BIRLA RENEWABLES LIMITED,NR,Hybrid (RHGS),100,100,"Fatehgarh-III (Sec-
II)",Rajasthan,31-12-29
694,2200000824,SPRNG GREEN ENERGY 2 PRIVATE LIMITED,WR,Solar,600,600,"Mandsaur PS 
(Sec-I)","Madhya 
Pradesh",31-12-29
695,2200000650,JSW Energy Utkal Limited,WR,Solar,200,200,Raghanesda PS,Gujarat,31-12-29
696,2200000516,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,300,300,Bhadla-IV,Rajasthan,31-03-30
697,2200000521,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,200,200,Bhadla-IV,Rajasthan,31-03-30
698,2200000522,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,300,300,Bhadla-IV,Rajasthan,31-03-30
699,2200000761,"KANTIDA RENEWABLES INDIA PROJECT PRIVATE
LIMITED",NR,Solar,300,300,Bhadla-IV,Rajasthan,31-03-30
700,2200000811,"ADANI RENEWABLE ENERGY HOLDING FOUR
LIMITED",NR,Solar,765,765,Bhadla-IV,Rajasthan,31-03-30
701,2200000875,DEMETER SUN POWER PRIVATE LIMITED,NR,Solar,300,300,Bhadla-IV,Rajasthan,31-03-30
702,2200001085,AVAADA ENERGY PRIVATE LIMITED,NR,Solar,700,700,Bhadla-IV,Rajasthan,31-03-30
703,2200001316,AVAADA RJSUSTAINABLE PRIVATE LIMITED,NR,Solar,660,660,Bhadla-IV,Rajasthan,31-03-30
704,2200001404,ARIGHT FOODS AND ENERGY PRIVATE LIMITED,NR,Solar,2000,2000,Bhadla-IV,Rajasthan,31-03-30
705,2200000726,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,1000,1000,Bikaner-V,Rajasthan,31-03-30
706,2200000755,SA RENEWABLE INFRA PRIVATE LIMITED,NR,Solar,100,100,Bikaner-V,Rajasthan,31-03-30
707,2200000796,"VENA ENERGY VINDHYA WIND POWER PRIVATE
LIMITED",NR,Solar,300,300,Bikaner-V,Rajasthan,31-03-30
708,2200000866,SOLARCRAFT POWER INDIA 8 PRIVATE LIMITED,NR,Solar,300,300,Bikaner-V,Rajasthan,31-03-30
709,2200001021,SUNSURE SOLARPARK RJ ONE PRIVATE LIMITED,NR,Solar,350,350,Bikaner-V,Rajasthan,31-03-30
710,2200001056,JUNIPER GREEN ENERGY PRIVATE LIMITED,NR,Solar,400,400,Bikaner-V,Rajasthan,31-03-30
711,2200001126,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,600,600,Bikaner-V,Rajasthan,31-03-30
712,2200001210,JUNIPER GREEN ENERGY PRIVATE LIMITED,NR,Solar,130,130,Bikaner-V,Rajasthan,31-03-30
