0,1,2,3,4,5,6,7,8,9
455,2200001072,HERO SOLAR ENERGY PRIVATE LIMITED,SR,Solar,250,250,Bidar PS,Karnataka,19-02-27
456,2200001098,LAMBENT ENERGY (EIGHT) PRIVATE LIMITED,SR,Hybrid (RHGS),354,300,Bidar PS,Karnataka,19-02-27
457,2200001321,TEQ GREEN POWER XX PRIVATE LIMITED,SR,Solar,300,300,Pavagada PS,Karnataka,15-03-27
458,2200000660,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,SR,Hybrid (RHGS),"720(Solar:360 
MW; Wind: 
360)",300,Davangere PS,Karnataka,22-03-27
459,2200000701,ILLUMINATE HYBREN PRIVATE LIMITED,SR,Solar,300,300,Davangere PS,Karnataka,22-03-27
460,2200000700,FURIES SOLREN PRIVATE LIMITED,SR,Solar,300,300,Davangere PS,Karnataka,22-03-27
461,2200000714,GENTARI RENEWABLES INDIA CASTOR ONE PVT. LTD,SR,Wind,350,350,Davangere PS,Karnataka,22-03-27
462,2200001044,"ADANI RENEWABLE ENERGY HOLDING EIGHTEEN 
LIMITED",NR,Solar,50,50,Bhadla-II,Rajasthan,24-03-27
463,2200001065,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,NR,Solar,150,150,Fatehgarh-II,Rajasthan,24-03-27
464,2200001375,GREENKO MP01 IREP PRIVATE LIMITED,WR,Pump Storage,512,512,"Mandsaur PS 
(Sec-I)","Madhya 
Pradesh",24-03-27
465,2200000823,BANYAN ENERGY PRIVATE LIMITED,NR,Solar,300,300,Merta-II,Rajasthan,24-03-27
466,2200000644,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,NR,Solar,300,300,Sirohi,Rajasthan,24-03-27
467,2200000646,ILLUMINATE HYBREN PRIVATE LIMITED,NR,Solar,300,300,Sirohi,Rajasthan,24-03-27
468,2200000518,CESC LTD,NR,Solar,300,300,Sirohi,Rajasthan,24-03-27
469,2200000551,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,400,400,Sirohi,Rajasthan,24-03-27
