0,1,2,3,4,5,6,7,8,9
164,1200003749 (Enh),ReNew Solar (Shakti Five) Private Limited,NR,Solar,100,100,"Fatehgarh-III (Sec-
II)",Rajasthan,31-12-25
165,1200002907,Energizent Power Private Limited,NR,Solar,125,125,"Fatehgarh-III (Sec-
II)",Rajasthan,31-12-25
166,1200002939,Energizent Power Private Limited,NR,Solar,80,80,"Fatehgarh-III (Sec-
II)",Rajasthan,31-12-25
167,412100020 (St-II: 1200002847),XL Xergi Power Private Limited,NR,Solar,200,200,"Fatehgarh-III (Sec-
II)",Rajasthan,31-12-25
168,"St-II:1200003022 (130 MW) 
LTA:1200003416 (130 MW)",AMP Energy Green Pvt. Ltd.,NR,Solar,130,130,"Fatehgarh-IV (Sec-
I)",Rajasthan,31-12-25
169,"St-II:1200003002 (380 MW) 
LTA:1200003531 (380 MW)",ABC Renewable Energy Private Limited,NR,Solar,380,380,"Fatehgarh-IV (Sec-
I)",Rajasthan,31-12-25
170,"412100009 (St-II: 1200003827, 
1200003910, 1200003958, 0312100010",Juniper Green Stellar Private Limited,NR,Hybrid (RHGS),150,150,"Fatehgarh-IV (Sec-
I)",Rajasthan,31-12-25
171,412100019 (St-II: 0312100005),AMP Energy Green Pvt. Ltd.,NR,Hybrid (RHGS),120,120,"Fatehgarh-IV (Sec-
I)",Rajasthan,31-12-25
172,1200003332,ABC RJ Land 01 Private Limited,NR,Solar,110,110,"Fatehgarh-IV (Sec-
I)",Rajasthan,31-12-25
173,1200003575,ABC RJ Land 01 Private Limited,NR,Solar,270,270,"Fatehgarh-IV (Sec-
I)",Rajasthan,31-12-25
174,2200000006,SOLARXL BETA ENERGY PRIVATE LIMITED,SR,Hybrid (RHGS),"207 (Solar-138 
MW, Wind-69",207,Gadag-II PS,Karnataka,31-12-25
175,2200000072,PROJECT NINE RENEWABLE POWER PRIVATE LIMITED,SR,Wind,480,250,Gadag-II PS,Karnataka,31-12-25
176,2200000074,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,SR,Hybrid (RHGS),109,50,Gadag-II PS,Karnataka,31-12-25
177,2200000096,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,SR,Wind,50,50,Gadag-II PS,Karnataka,31-12-25
178,2200000099,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,SR,Wind,50,50,Gadag-II PS,Karnataka,31-12-25
179,2200000100,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,SR,Wind,50,50,Gadag-II PS,Karnataka,31-12-25
180,2200000139,ABREL (RJ) PROJECTS LIMITED,SR,Wind,184,184,Gadag-II PS,Karnataka,31-12-25
181,2200000121,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,SR,Hybrid (RHGS),"327MW [Solar-
153 MW & 
Wind-174MW]",150,Gadag-II PS,Karnataka,31-12-25
182,2200000238,ADITYA BIRLA RENEWABLES SUBSIDIARY LIMITED,SR,Wind,102,102,Gadag-II PS,Karnataka,31-12-25
183,2200000920,"ZENATARIS RENEWABLE ENERGY PRIVATE
LIMITED",SR,Wind,62.7,62,Hiriyur,Karnataka,31-12-25
184,0230700018,Powerica Limited,WR,Wind,53,53,"Jam Khambhaliya 
PS",Gujarat,31-12-25
185,2200000190,JUNIPER GREEN ENERGY PRIVATE LIMITED,WR,Wind,100,100,"Jam Khambhaliya 
PS",Gujarat,31-12-25
186,2200000237,ADITYA BIRLA RENEWABLES SUBSIDIARY LIMITED,SR,Wind,102,102,Koppal-II PS,Karnataka,31-12-25
187,2200000243,TATA POWER RENEWABLE ENERGY LIMITED,SR,Wind,288,288,Koppal-II PS,Karnataka,31-12-25
188,2200000262,JSP GREEN WIND 1 PRIVATE LIMITED,SR,Wind,400,400,Koppal-II PS,Karnataka,31-12-25
189,2200000402,JSP GREEN WIND 1 PRIVATE LIMITED,SR,Wind,300,300,Koppal-II PS,Karnataka,31-12-25
190,2200000472,GADAG POWER INDIA PRIVATE LIMITED,SR,Wind,300,300,Koppal-II PS,Karnataka,31-12-25
191,2200000504,AYANA RENEWABLE POWER PRIVATE LIMITED,SR,Wind,100,100,Koppal-II PS,Karnataka,31-12-25
192,0231400018,Renew Pawan Shakti Private Limited (RPSPL),WR,Wind,277,277,Parli (New),Maharashtra,31-12-25
193,0331400012,Renew Pawan Shakti Private Limited (RPSPL),WR,Wind,23,23,Parli (New),Maharashtra,31-12-25
194,2200000709,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,WR,Solar,300,300,Neemuch PS,"Madhya 
Pradesh",31-01-26
195,2200000474,TORRENT SOLAR POWER PRIVATE LIMITED,SR,Wind,125.4,125,Koppal-II PS,Karnataka,01-02-26
196,2200000086,"Oyster Renewable Energy Private Limited (formerly 
Known as ABENERGIA RENEWABLES PRIVATE LIMITED)",WR,Hybrid (RHGS),100,100,"Pachora PS (Sec-
II)","Madhya 
Pradesh",14-02-26
197,2200000342,"Oyster Renewable Energy Private Limited (Former 
name-ABENERGIA RENEWABLES PRIVATE LIMITED)",WR,Hybrid (RHGS),81,81,"Pachora PS (Sec-
II)","Madhya 
Pradesh",14-02-26
198,2200000404,BHOJRAJ DEVELOPERS PRIVATE LIMITED,WR,Hybrid (RHGS) Wind: 160,"MW
Solar: 26 MW",186,"Pachora PS (Sec-
II)","Madhya 
Pradesh",14-02-26
199,2200000092,GREENKO KA01 IREP PRIVATE LIMITED,SR,Pump Storage,260,260,Gadag-II PS,Karnataka,16-02-26
200,1200002987 (Enh.),AMP Energy Green Private Limited,NR,Solar,100,100,Bhadla-II,Rajasthan,28-02-26
201,1200002554,Eden Renewable Alma Private Limited,NR,Solar,300,300,Bhadla-II,Rajasthan,28-02-26
202,1200002742,Solarpack Corporacion Technologica S.A.,NR,Solar,300,300,Bhadla-II,Rajasthan,28-02-26
203,1200002559,AMP Energy Green Pvt. Ltd.,NR,Solar,100,100,Bhadla-II,Rajasthan,28-02-26
204,"SW9990894382- M029_D001_A007- 
1671216520154
(0212100003)",Prerak Greentech Solar Private Limited (Park),NR,Solar,400,400,Bhadla-III,Rajasthan,28-02-26
205,"412100012, 0212100027 (St-II)",Juniper Green Beta Pvt. Ltd.,NR,Solar,150,150,Bhadla-III,Rajasthan,28-02-26
206,"412100013, 0312100013 (St-II), 
1670400777119 (St-II)",Juniper Green Beta Pvt. Ltd.,NR,Solar,100,100,Bhadla-III,Rajasthan,28-02-26
207,"SW9990897533- M029_D001_A007- 
1672319027575, 0212100030 (St-II)",Tepsol Sun Sparkle Pvt. Ltd.,NR,Solar,300,300,Bhadla-III,Rajasthan,28-02-26
208,"412100027 (SW5102826596-
M029_D001_A003-1670400777119 
(10MW out of 70MW) + 0312100011",Juniper Green Beta Private Limited,NR,Solar,50,50,Bhadla-III,Rajasthan,28-02-26
209,2200000716,WELSPUN NARMADA PRIVATE LIMITED,SR,Hybrid (RHGS),"250 (150 MW 
Wind & 100 
MW Solar)",250,Bidar PS,Karnataka,28-02-26
210,2200000441,FIRST ENERGY PRIVATE LIMITED,SR,Wind,100,100,Karur PS,Tamil Nadu,28-02-26
211,2200000628,NANNAI SOLAR PARK PRIVATE LIMITED,SR,Wind,93,93,Karur PS,Tamil Nadu,28-02-26
212,"St-II: 1200002432(500 MW) 
LTA:1200003689 (500 MW)",Adani Renewable Energy Holding Four Ltd.,NR,Solar,500,500,Ramgarh,Rajasthan,28-02-26
213,2200000395,TATA POWER RENEWABLE ENERGY LIMITED,WR,Wind,101,101,Kallam PS,Maharashtra,01-03-26
214,2200000450,TATA POWER RENEWABLE ENERGY LIMITED,WR,Wind,100.8,100,Kallam PS,Maharashtra,01-03-26
215,2200000448,TATA POWER RENEWABLE ENERGY LIMITED,SR,Wind,93.6,93,Karur PS,Tamil Nadu,01-03-26
216,2200000394,TATA POWER RENEWABLE ENERGY LIMITED,SR,Wind,151,151,Pugalur,Tamil Nadu,01-03-26
217,2200000449,TATA POWER RENEWABLE ENERGY LIMITED,SR,Wind,151.2,151,Pugalur,Tamil Nadu,01-03-26
218,2200000390,TATA POWER RENEWABLE ENERGY LIMITED,SR,Solar,"200-Solar;
25-BESS",225,Koppal-II PS,Karnataka,02-03-26
