0,1,2,3,4,5,6,7,8,9
395,2200000514,ADANI GREEN ENERGY THIRTY TWO LIMITED,WR,Wind,300,260,Bhuj-II PS (Sec-II),Gujarat,18-12-26
396,2200000545,ADANI RENEWABLE ENERGY EIGHT LIMITED,WR,Solar,115,115,Bhuj-II PS (Sec-II),Gujarat,18-12-26
397,2200000387,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,NR,Solar,600,600,Fatehgarh-II,Rajasthan,21-12-26
398,2200000396,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,NR,Solar,250,250,Fatehgarh-II,Rajasthan,21-12-26
399,2200000411,ENFINITY GLOBAL SURYA KIRAN PRIVATE LIMITED,NR,Solar,300,300,Barmer-I,Rajasthan,30-12-26
400,2200000312,AUXO SUNLIGHT PRIVATE LIMITED,NR,Solar,300,300,Barmer-I,Rajasthan,30-12-26
401,2200000316,RENEW SUN POWER PRIVATE LIMITED,NR,Solar,300,300,Barmer-I,Rajasthan,30-12-26
402,2200000412,"ANDHRA PRADESH RESCO ROOFTOP SOLAR PRIVATE 
LIMITED",NR,Solar,300,300,Barmer-I,Rajasthan,30-12-26
403,2200000425,HINDUJA RENEWABLES ENERGY PRIVATE LIMITED,NR,Solar,250,250,Barmer-I,Rajasthan,30-12-26
404,2200000492,ANBOTO SOLAR PRIVATE LIMITED,NR,Solar,300,50,Barmer-I,Rajasthan,30-12-26
405,2200000355,"GAMMA RENEWABLES INDIA PROJECT ONE
PRIVATE LIMITED",NR,Solar,300,300,"Fatehgarh-IV (Sec-
II)",Rajasthan,30-12-26
406,2200000348,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,900,900,"Fatehgarh-IV (Sec-
II)",Rajasthan,30-12-26
407,2200000422,HERO SOLAR ENERGY PRIVATE LIMITED,SR,Hybrid (RHGS),"Solar: 188MW
Wind: 201 
MW
BESS: 30MWh",300,Bidar PS,Karnataka,31-12-26
408,"1200003889
(Enh.)","Soltown Infra Private Limited
(Park)",NR,Solar,200,200,Bikaner-II,Rajasthan,31-12-26
409,2200000050,ASSAM POWER DISTRIBUTION COMPANY LIMITED,NER,Solar,750,750,Bokajan (ISTS),Assam,31-12-26
410,2200000081,AVAADA ENERGY PRIVATE LIMITED,WR,Wind,50,50,Dhule PS (Sec-I),Maharashtra,31-12-26
411,2200001036,AVAADA ENERGY PRIVATE LIMITED,WR,Wind,160,160,Dhule PS (Sec-I),Maharashtra,31-12-26
412,2200001035,AVAADA ENERGY PRIVATE LIMITED,WR,Wind,80,80,Dhule PS (Sec-I),Maharashtra,31-12-26
413,2200000063,JUNIPER GREEN STELLAR PRIVATE LIMITED,NR,Solar,300,300,"Fatehgarh-IV (Sec-
II)",Rajasthan,31-12-26
414,0251100015,Halvad Renewables Pvt. Ltd.,SR,Wind,130,130,Gadag PS,Karnataka,31-12-26
415,2200000698,AMPLUS SUN BEAT PRIVATE LIMITED,SR,Wind,80,80,Karur PS,Tamil Nadu,31-12-26
416,2200000699,"AMPLUS THETA ENERGY PVT. LTD.  [ERSTWHILE 
AMPLUS CENEDUS SOLAR PVT. LTD.]",SR,Wind,65,65,Karur PS,Tamil Nadu,31-12-26
417,2200000127,VENA ENERGY AURA PRIVATE LIMITED,SR,Wind,50,50,Koppal-II PS,Karnataka,31-12-26
418,2200000282,VENA ENERGY AURA PRIVATE LIMITED,SR,Wind,50,50,Koppal-II PS,Karnataka,31-12-26
419,2200000513,VENA ENERGY AURA PRIVATE LIMITED,SR,Wind,40,24,Koppal-II PS,Karnataka,31-12-26
420,2200000236,HERO SOLAR ENERGY PRIVATE LIMITED,SR,Hybrid (RHGS),"Solar: 150 MW
Wind:159 MW",270,Kurnool-III PS,Andhra Pradesh 31-12-26,
421,2200000543,AMPLUS EVEREST SOLAR PRIVATE LIMITED,SR,Hybrid (RHGS),"228(Solar:105
MW; Wind: 
126 MW)",130,Kurnool-III PS,Andhra Pradesh 31-12-26,
422,2200000544,AMPLUS IIFA SOLAR PRIVATE LIMITED,SR,Hybrid (RHGS),"228(Solar:105
MW; Wind: 
126 MW)",130,Kurnool-III PS,Andhra Pradesh 31-12-26,
423,2200000458,GANEKO SOLAR PRIVATE LIMITED,WR,Hybrid (RHGS),337.36,290,Lakadiya PS,Gujarat,31-12-26
424,2200000515,GANEKO SOLAR PRIVATE LIMITED,WR,Hybrid (RHGS),11.63,10,Lakadiya PS,Gujarat,31-12-26
425,2200000976,ADYANT ENERSOL PRIVATE LIMITED,WR,Hybrid (RHGS),84,84,"Mandsaur PS 
(Sec-I)","Madhya 
Pradesh",31-12-26
426,2200000924,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,WR,Solar,150,150,"Mandsaur PS 
(Sec-II)","Madhya 
Pradesh",31-12-26
427,2200000899,BHOJRAJ RENEWABLES ENERGY PRIVATE LIMITED,WR,Wind,300,300,"Mandsaur PS 
(Sec-II)","Madhya 
Pradesh",31-12-26
428,2200000345,BUNDELKHAND SAUR URJA LIMITED,NR,Solar,1200,1200,Orai,UP,31-12-26
429,2200000082,AVAADA ENERGY PRIVATE LIMITED (AEPL),WR,Solar,50,50,"Pachora PS (Sec-
II)","Madhya 
Pradesh",31-12-26
430,2200000267,AVAADA ENERGY PRIVATE LIMITED,WR,Solar,250,250,"Pachora PS (Sec-
II)","Madhya 
Pradesh",31-12-26
431,2200001437,RENEW SOLAR POWER PRIVATE LIMITED,WR,Wind,100,100,Parli (New),Maharashtra,31-12-26
432,2200000461,SPRNG ENERGY PRIVATE LIMITED,WR,Solar,100,100,Radhanesda PS,Gujarat,31-12-26
433,0331300007,Sprng Vayu Vidyut Pvt Ltd (SVVPL),WR,Wind,100.8,100,Rajgarh SS,"Madhya 
Pradesh",31-12-26
434,2200000022,SPRNG VAYU VIDYUT PRIVATE LIMITED,WR,Wind,100,100,Rajgarh SS,"Madhya 
Pradesh",31-12-26
435,2200000133,SPRNG AKSHAYA URJA PRIVATE LIMITED,WR,Wind,67.2,67,Rajgarh SS,"Madhya 
Pradesh",31-12-26
436,2200000083,AVAADA ENERGY PRIVATE LIMITED,WR,Wind,50,50,"Solapur PS (400 
Sec-I)",Maharashtra,31-12-26
437,2200000132,AVAADA ENERGY PRIVATE LIMITED,WR,Hybrid (RHGS),"50 (Wind) : 
revised from 
Hybrid (25S & 
25W)after 
final grant",50,"Solapur PS (400 
Sec-I)",Maharashtra,31-12-26
438,2200001008,GANEKO TWO ENERGY PRIVATE LIMITED,WR,Hybrid (RHGS),354,300,"Solapur PS (400 
Sec-I)",Maharashtra,31-12-26
439,2200001082,ACME SOLAR HOLDINGS LIMITED,SR,Solar,350,350,Pavagada PS,Karnataka,01-01-27
440,2200000171,APRAAVA ENERGY PRIVATE LIMITED,SR,Wind,300,300,Bijapur PS,Karnataka,17-01-27
441,2200000393,TATA POWER RENEWABLE ENERGY LIMITED,SR,Wind,252,252,Bijapur PS,Karnataka,17-01-27
442,2200000397,TEQ GREEN POWER XVI PRIVATE LIMITED,SR,Wind,125,125,Bijapur PS,Karnataka,17-01-27
