0,1,2,3,4,5,6,7,8,9
101,0451100012,Serentica Renewable India 1 Pvt.,SR,Hybrid (RHGS),"133.33333333
333334",100,Koppal PS,Karnataka,30-11-25
102,0251100005,TP Saurya Ltd.$,SR,Solar,300,300,Koppal PS,Karnataka,30-11-25
103,LTA app no.1200003664,"Greenko AP01 IREP Pvt. Ltd
(Connectivity Appl No.- 1200002672)",SR,Hybrid (RHGS),900,900,Kurnool (new),Andhra Pradesh 30-11-25,
104,LTA app no. 450200009,"Greenko AP01 IREP Pvt. Ltd
Connectivity Appl No.-1200003962 )",SR,PSP,565,565,Kurnool (new),Andhra Pradesh 30-11-25,
105,0350200006,Greenko AP01 IREP Pvt. Ltd.,SR,PSP,260,260,Kurnool (new),Andhra Pradesh 30-11-25,
106,2200000012,AM GREEN ENERGY PRIVATE LIMITED,SR,Hybrid (RHGS),"989 (Solar-
675MW, 
Wind:314MW)",989,Kurnool (new),Andhra Pradesh 30-11-25,
107,2200000150,AMP ENERGY GREEN PRIVATE LIMITED,SR,Hybrid (RHGS),"Total: 187 MW
Solar: 137.5",150,Kurnool-III PS,Andhra Pradesh 30-11-25,
108,2200000231,AMP ENERGY C&I TWELVE PRIVATE LIMITED,SR,Solar,100,100,Kurnool-III PS,Andhra Pradesh 30-11-25,
109,2200000329,SAEL INDUSTRIES LIMITED,SR,Solar,300,300,Kurnool-III PS,Andhra Pradesh 30-11-25,
110,2200000330,SAEL INDUSTRIES LIMITED,SR,Solar,300,300,Kurnool-III PS,Andhra Pradesh 30-11-25,
111,2200000335,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,SR,Solar,"Solar-400MW,  400",,Kurnool-III PS,Andhra Pradesh 30-11-25,
112,2200000250,NHPC LIMITED,SR,Solar,100,100,NP Kunta PS,Andhra Pradesh 30-11-25,
113,2200000633,JINDAL POWER LIMITED,SR,Solar,52.6,52,Nellore PS,Andhra Pradesh 30-11-25,
114,LTA app no. 451100004,Project Ten Renewable Power Pvt. Ltd.,SR,Wind,300,300,Pavagada PS,Karnataka,30-11-25
115,1200003590,Solar Energy Corporation of India Ltd.,SR,Solar,200,200,Pavagada PS,Karnataka,30-11-25
