0,1,2,3,4,5,6,7,8,9
266,2200000037,PROJECT NINE RENEWABLE POWER PRIVATE LIMITED,NR,Solar,450,450,Bhadla-II,Rajasthan,22-08-26
267,212100026,Abu Renewables India Private Limited,NR,Solar,340,340,Bhadla-III,Rajasthan,22-08-26
268,2200000284,AK RENEWABLE INFRA PRIVATE LIMITED,NR,Solar,300,300,Bikaner,Rajasthan,22-08-26
269,312100008 (Enh.),ALF Solar Amarsar Private Limited,NR,Solar,50,50,Bikaner-II,Rajasthan,22-08-26
270,212100005,Sourya Manthan Renewable Energy Private Limited,NR,Solar,100,100,Bikaner-II,Rajasthan,22-08-26
271,212100007,"Soltown Infra Private Limited
(Park)",NR,Solar,350,350,Bikaner-II,Rajasthan,22-08-26
272,212100008,"Soltown Infra Private Limited
(Park)",NR,Solar,150,125,Bikaner-II,Rajasthan,22-08-26
273,212100042,Proteus Energy Private Limited (Park),NR,Solar,217,217,Bikaner-III,Rajasthan,22-08-26
274,212100025,TP Saurya Limited,NR,Solar,300,300,Bikaner-III,Rajasthan,22-08-26
275,2200000008,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,NR,Solar,300,300,Bikaner-III,Rajasthan,22-08-26
276,2200000098,MRS BUILDVISION PRIVATE LIMITED,NR,Solar,50,1000,Bikaner-III,Rajasthan,22-08-26
277,2200000111,SUNBREEZE RENEWABLES NINE PRIVATE LIMITED,NR,Solar,400,400,Bikaner-III,Rajasthan,22-08-26
278,2200000163,SUNBREEZE RENEWABLES NINE PRIVATE LIMITED,NR,Solar,1000,1000,Bikaner-III,Rajasthan,22-08-26
279,2200000172,SUNSURE SOLARPARK RJ ONE PRIVATE LIMITED,NR,Solar,50,50,Bikaner-III,Rajasthan,22-08-26
280,2200000167,SAIMAA SOLAR PRIVATE LIMITED,NR,Solar,150,150,Bikaner-III,Rajasthan,22-08-26
281,2200000164,SUNSURE SOLARPARK RJ ONE PRIVATE LIMITED,NR,Solar,50,50,Bikaner-III,Rajasthan,22-08-26
282,2200000165,SUNSURE SOLARPARK RJ ONE PRIVATE LIMITED,NR,Solar,50,50,Bikaner-III,Rajasthan,22-08-26
283,2200000227,SUNSURE SOLARPARK RJ ONE PRIVATE LIMITED,NR,Solar,50,50,Bikaner-III,Rajasthan,22-08-26
284,2200000228,SUNSURE SOLARPARK RJ ONE PRIVATE LIMITED,NR,Solar,50,50,Bikaner-III,Rajasthan,22-08-26
285,212100034,Serentica Renewable India Pvt. Ltd.,NR,Solar,300,300,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
286,212100036,Serentica Renewable India Pvt. Ltd.,NR,Solar,300,300,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
287,2200000020,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,NR,Solar,300,300,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
288,2200000024,SPRNG POWER PRIVATE LIMITED,NR,Solar,400,300,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
289,2200000065,SPRNG AKSHAYA URJA PRIVATE LIMITED,NR,Solar,100,100,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
290,2200000116,SPRNG ENERGY PRIVATE LIMITED,NR,Solar,400,400,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
291,2200000140,ABREL (RJ) PROJECTS LIMITED,NR,Solar,260,260,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
292,2200000123,TEQ GREEN POWER XV PRIVATE LIMITED,NR,Solar,95,95,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
293,2200000138,ADITYA BIRLA RENEWABLES SUBSIDIARY LIMITED,NR,Hybrid (RHGS),390,390,"Fatehgarh-III (Sec-
II)",Rajasthan,22-08-26
294,212100032,Luceo Solar Pvt. Ltd.,NR,Solar,200,200,"Fatehgarh-IV (Sec-
I)",Rajasthan,22-08-26
295,0312100018 (Enhancement),Luceo Solar Pvt. Ltd.,NR,Solar,100,100,"Fatehgarh-IV (Sec-
I)",Rajasthan,22-08-26
296,312100007,AMP Energy Green Pvt. Ltd.,NR,Hybrid (RHGS),50,50,"Fatehgarh-IV (Sec-
I)",Rajasthan,22-08-26
297,2200000003,BN HYBRID POWER-1 PRIVATE LIMITED,NR,Hybrid (RHGS),119.2,119,"Fatehgarh-IV (Sec-
I)",Rajasthan,22-08-26
298,2200000102,BN HYBRID POWER-1 PRIVATE LIMITED,NR,Hybrid (RHGS),180.8,180,"Fatehgarh-IV (Sec-
I)",Rajasthan,22-08-26
299,2200000187,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,300,300,"Fatehgarh-IV (Sec-
II)",Rajasthan,22-08-26
300,212100028,Seven Renewable Power Pvt. Ltd.,NR,Solar,300,300,Bhadla-III,Rajasthan,30-08-26
301,212100031,Frugal Energy Pvt. Ltd.,NR,Solar,50,50,Bhadla-III,Rajasthan,30-08-26
302,212100033,Bhadla Three SKP Green Ventures Pvt. Ltd.,NR,Solar,300,300,Bhadla-III,Rajasthan,30-08-26
303,212100038,Adani Solar Energy AP Three Ltd.,NR,Solar,150,150,Ramgarh,Rajasthan,30-08-26
304,2200000657,TEPSOL GREEN ENERGY PRIVATE LIMITED,SR,Hybrid (RHGS),"200 (Wind- 
160 & Solar-
40)",200,Bijapur PS,Karnataka,31-08-26
305,2200000625,LAYER HYBREN PRIVATE LIMITED,SR,Hybrid (RHGS),"140 (100- 
Solar; 40 
Wind)",140,Davangere PS,Karnataka,31-08-26
306,2200000948,SAEL INDUSTRIES LIMITED,SR,Solar,300,300,Tumkur-II PS,Karnataka,04-09-26
307,2200000226,SEVEN RENEWABLE POWER PRIVATE LIMITED,SR,Wind,150,150,Anantapur PS,Andhra Pradesh 30-09-26,
308,2200000152,SOLARCRAFT POWER INDIA 4 PRIVATE LIMITED,NR,Solar,150,150,Bhadla-II,Rajasthan,30-09-26
309,2200000702,LAYER HYBREN PRIVATE LIMITED,SR,Hybrid (RHGS),"160 (110- 
Solar; 50 
Wind)",160,Davangere PS,Karnataka,30-09-26
310,2200000075,AVAADA ENERGY PRIVATE LIMITED,WR,Wind,50,50,Kallam PS,Maharashtra,30-09-26
311,2200000353,AVAADA ENERGY PRIVATE LIMITED,WR,Wind,250,250,Kallam PS,Maharashtra,30-09-26
312,2200000341,RENEW SOLAR (SHAKTI EIGHT) PRIVATE LIMITED,WR,Solar,200,200,Lakadiya PS,Gujarat,30-09-26
313,2200000398,TEQ GREEN POWER XVI PRIVATE LIMITED,WR,Wind,76,76,Lakadiya PS,Gujarat,30-09-26
314,2200000403,RENEW SOLAR (SHAKTI EIGHT) PRIVATE LIMITED,WR,Solar,100,100,Lakadiya PS,Gujarat,30-09-26
315,2200000427,TEQ GREEN POWER XVI PRIVATE LIMITED,WR,Wind,76,76,Lakadiya PS,Gujarat,30-09-26
316,2200001012,SAEL INDUSTRIES LIMITED,SR,Solar,300,300,Tumkur-II PS,Karnataka,30-09-26
317,1200002678,"Adani Renewable Energy Holding Four Ltd. (Erstwhile 
Adani Green Energy Four Ltd.)",WR,Solar,917,917,KPS-1 (Sec-I),Gujarat,01-10-26
318,2200001054,TATA POWER RENEWABLE ENERGY LIMITED,WR,Wind,220,220,Parli (New),Maharashtra,01-10-26
319,2200000246,MOUNTING RENEWABLE POWER LIMITED,WR,Hybrid (RHGS),250,250,"Jam Khambhaliya 
PS",Gujarat,14-10-26
320,2200000261,AIRPOWER WINDFARMS PRIVATE LIMITED,WR,Wind,175,175,"Jam Khambhaliya 
PS",Gujarat,14-10-26
321,2200000263,ACME SUN POWER PRIVATE LIMITED,WR,Wind,400,400,"Jam Khambhaliya 
PS",Gujarat,14-10-26
322,2200000241,NTPC RENEWABLE ENERGY LIMITED,WR,Wind,545,45,"Jam Khambhaliya 
PS",Gujarat,14-10-26
