0,1,2,3,4,5,6,7,8,9
329,212100035,Helia Energy Park Private Limited,NR,Solar,200,200,"Fatehgarh-IV (Sec-
II)",Rajasthan,15-10-26
330,212100037,Radiant Star Solar Park Private Limited,NR,Solar,200,200,"Fatehgarh-IV (Sec-
II)",Rajasthan,15-10-26
331,212100043,"EG Saur Urja Pvt. Ltd.
(earlier Tepsol Saur Urja Private Limited)",NR,Solar,300,300,"Fatehgarh-IV (Sec-
II)",Rajasthan,15-10-26
332,312100019,Cannice Renewables Energy Private Limited,NR,Hybrid (RHGS),90,90,"Fatehgarh-IV (Sec-
II)",Rajasthan,15-10-26
333,SW…1671600589106,Cannice Renewables Energy Private Limited,NR,Solar,150,150,"Fatehgarh-IV (Sec-
II)",Rajasthan,15-10-26
334,212100004,Cannice Renewable Energy Private Limited,NR,Solar,80,80,"Fatehgarh-IV (Sec-
II)",Rajasthan,15-10-26
335,2200000089,GREENKO MP01 IREP PRIVATE LIMITED,WR,Pump Storage,504,504,"Mandsaur PS 
(Sec-I)","Madhya 
Pradesh",15-10-26
336,2200000090,GREENKO MP01 IREP PRIVATE LIMITED,WR,Pump Storage,504,504,"Mandsaur PS 
(Sec-I)","Madhya 
Pradesh",15-10-26
337,2200000091,GREENKO MP01 IREP PRIVATE LIMITED,WR,Pump Storage,504,504,"Mandsaur PS 
(Sec-I)","Madhya 
Pradesh",15-10-26
338,2200001083,ADANI WIND ENERGY KUTCHH THREE LIMITED,WR,Wind,300,300,Navinal,Gujarat,30-10-26
339,2200000153,TEQ GREEN POWER XV PRIVATE LIMITED,NR,Solar,300,300,Barmer-I,Rajasthan,07-11-26
340,2200000161,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,NR,Solar,400,400,Barmer-I,Rajasthan,07-11-26
341,2200000181,EDEN RENEWABLE CADET PRIVATE LIMITED,NR,Solar,300,300,Barmer-I,Rajasthan,07-11-26
342,2200000286,ENREN-I ENERGY PRIVATE LIMITED,NR,Solar,300,300,Barmer-I,Rajasthan,07-11-26
343,2200000281,ANBOTO SOLAR PRIVATE LIMITED,NR,Solar,250,250,Barmer-I,Rajasthan,07-11-26
344,2200000244,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,150,150,Bikaner-IV,Rajasthan,07-11-26
345,2200000054,GREEN INFRA CLEAN WIND TECHNOLOGY LIMITED,NR,Solar,300,300,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
346,2200000067,UTKRRISHT SOLAR ENERGY PRIVATE LIMITED,NR,Solar,300,300,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
347,2200000077,AVAADA ENERGY PRIVATE LIMITED,NR,Hybrid (RHGS),50,50,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
348,2200000103,BN DISPATCHABLE-1 PRIVATE LIMITED,NR,Hybrid (RHGS),300,300,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
349,2200000120,HELIA ENERGY PARK PRIVATE LIMITED,NR,Solar,100,100,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
350,2200000135,GREEN INFRA CLEAN SOLAR FARMS LIMITED,NR,Solar,300,110,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
351,2200000186,RENEW SOLAR POWER PRIVATE LIMITED,NR,Solar,300,300,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
352,2200000212,RADIANT STAR SOLAR PARK PRIVATE LIMITED,NR,Solar,300,100,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
353,2200000290,AVAADA ENERGY PRIVATE LIMITED,NR,Hybrid (RHGS),250,250,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
354,2200000485,JUNIPER GREEN ENERGY PRIVATE LIMITED,NR,Solar,50,50,"Fatehgarh-IV (Sec-
II)",Rajasthan,07-11-26
355,2200000320,AYANA RENEWABLE POWER PRIVATE LIMITED,SR,Wind,150,150,Pavagada PS,Karnataka,09-11-26
356,2200000184,DESHRAJ SOLAR ENERGY PRIVATE LIMITED,NR,Solar,300,300,Bikaner-III,Rajasthan,11-11-26
357,2200000221,FIRST ENERGY PRIVATE LIMITED,NR,Solar,100,100,Bikaner-III,Rajasthan,11-11-26
358,2200000013,AVAADA RJBIKANER PRIVATE LIMITED,NR,Solar,50,50,Bikaner-IV,Rajasthan,11-11-26
359,2200000210,SOLARCRAFT POWER INDIA 17 PRIVATE LIMITED,NR,Solar,300,300,Bikaner-IV,Rajasthan,11-11-26
360,2200000254,AVAADA RJBIKANER PRIVATE LIMITED,NR,Solar,600,600,Bikaner-IV,Rajasthan,11-11-26
361,2200000289,AVAADA ENERGY PRIVATE LIMITED,NR,Solar,300,300,Bikaner-IV,Rajasthan,11-11-26
362,2200000306,SHUDH SOLAR POWER PRIVATE LIMITED,NR,Solar,250,250,Bikaner-IV,Rajasthan,11-11-26
363,2200000308,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,700,700,Bikaner-IV,Rajasthan,11-11-26
364,2200000334,HAZEL HYBREN PRIVATE LIMITED,NR,Solar,300,300,Bikaner-IV,Rajasthan,11-11-26
365,2200000319,AM GREEN ENERGY PRIVATE LIMITED,NR,Solar,300,300,Bikaner-IV,Rajasthan,11-11-26
366,2200000333,FURIES SOLREN PRIVATE LIMITED,NR,Solar,300,300,Bikaner-IV,Rajasthan,11-11-26
367,2200000343,IRAAX INTERNATIONAL (OPC) PRIVATE LIMITED,NR,Solar,300,300,Bikaner-IV,Rajasthan,11-11-26
368,2200000344,CLEAN MAX GAMMA PRIVATE LIMITED,NR,Solar,300,300,Bikaner-IV,Rajasthan,11-11-26
369,2200000373,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,400,400,Bikaner-IV,Rajasthan,11-11-26
370,2200000358,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,250,250,Bikaner-IV,Rajasthan,11-11-26
371,2200000423,SJVN GREEN ENERGY LIMITED,NR,Solar,1000,500,Bikaner-IV,Rajasthan,11-11-26
372,2200000420,NTPC RENEWABLE ENERGY LIMITED,NR,Solar,1000,400,Bikaner-IV,Rajasthan,11-11-26
373,2200000634,INDIANOIL NTPC GREEN ENERGY PRIVATE LIMITED,WR,Solar,600,600,Bhuj PS,Gujarat,19-11-26
374,2200000658,PURVAH GREEN POWER PRIVATE LIMITED,WR,Wind,99,99,Bhuj PS,Gujarat,19-11-26
375,2200000729,NLC INDIA LIMITED,WR,Solar,100,100,Bhuj PS,Gujarat,19-11-26
376,2200000783,OYSTER GREEN HYBRID ONE PRIVATE LIMITED,WR,Wind,99,99,Bhuj PS,Gujarat,19-11-26
377,2200000808,NLC INDIA LIMITED,WR,Wind,50,50,Bhuj PS,Gujarat,19-11-26
378,2200000981,HEXA CLIMATE SOLUTIONS PRIVATE LIMITED,WR,Wind,75.6,75,Bhuj PS,Gujarat,19-11-26
379,2200001070,"CONTINUUM POWER TRADING (TN) PRIVATE
LIMITED",WR,Wind,36,36,Bhuj PS,Gujarat,19-11-26
380,2200000048,"GUJARAT STATE ELECTRICITY CORPORATION
LIMITED",WR,Solar,3325,1725,KPS-2 (Sec-I),Gujarat,19-11-26
381,2200000093,NTPC RENEWABLE ENERGY LIMITED,WR,Solar,1995,1995,KPS-2 (Sec-I),Gujarat,19-11-26
382,1200003953,NTPC Renewable Energy Limited (NREL),WR,Solar,390,390,KPS-2 (Sec-II),Gujarat,19-11-26
383,0330700007,"NTPC Renewable Energy Limited
(NTPC REL)",WR,Solar,300,300,KPS-2 (Sec-II),Gujarat,19-11-26
384,0230700010,NTPC Renewable Energy Limited,WR,Solar,1200,1200,KPS-3 (Sec-I),Gujarat,19-11-26
385,0230700013,Sarjan Realities Pvt. Ltd. (SRPL),WR,Hybrid (RHGS),1250,1250,KPS-3 (Sec-II),Gujarat,19-11-26
386,0230700015,NHPC Limited,WR,Solar,600,600,KPS-3 (Sec-II),Gujarat,19-11-26
387,2200000639,RDS SOLAR PARK PRIVATE LIMITED,WR,Solar,350,350,Lakadiya PS,Gujarat,19-11-26
388,2200000673,PERCENTUM RENEWABLES PRIVATE LIMITED,WR,Hybrid (RHGS),"100MW: Solar
200MW: Wind
Revised to 
50MW Solar & 
98MW Wind.",148,Lakadiya PS,Gujarat,19-11-26
