state,name_of_station,capacity_mva,capacity_allocated_mw,margin_existing_220kv,margin_existing_400kv,line_bays_220kv,line_bays_400kv,margin_with_ict_220kv,margin_with_ict_400kv,line_bays_with_ict_220kv,line_bays_with_ict_400kv,no_of_transformers_required,remarks,region
Odisha,Jeypore,400/220kV: 2x630MVA,,1500,0,5,,,,,,,,ER
Odisha,Keonjhar,400/220kV: 2x315MVA,0,800,0,3,,,,,,,,ER
Odisha,Pandiabil,400/220kV: 3x500MVA,0,0,0,,,,,,,,,ER
Odisha,Rengali,400/220kV: 2x315MVA,0,500,0,2,,,,,,,,ER
Odisha,Angul,765/400: 4x1500MVA,0,0,0,,,,,,,,,ER
Odisha,Baripada,"400/220/132: 2x315MVA + 1x500MVA 
+ 2x160MVA",,300,,2,,,,,,,,ER
Odisha,Bolangir,400/220kV: 2x315MVA,,0,,,,,,,,,,ER
Odisha,Indravati,400/220kV: 1x315MVA,,0,,,,,,,,,,ER
Odisha,Rourkela,400/220kV: 4x315MVA,,0,,,,,,,,,,ER
Odisha,Sundargarh A,765/400: 2x1500MVA,,,2500,,3,,,,,,,ER
Odisha,Sundargarh B,765/400: 2x1500MVA,,,2500,,3,,,,,,,ER
Odisha,Paradeep,765/400: 2x1500MVA,,,3000,,3,,,,,,,ER
Odisha,Gopalpur,765/400: 2x1500MVA,,,3000,,3,,,,,,,ER
Jharkhand,Chaibasa,400/220kV: 2x315MVA,0,500,0,2,,0,0,0,0,0,,ER
Jharkhand,Daltonganj,400/220kV: 2x315MVA,0,500,0,2,,0,0,0,0,0,,ER
Jharkhand,Ranchi,400/220kV: 2x315MVA + 1x500MVA,,800,,3,,0,0,0,,0,,ER
Jharkhand,Ranchi,765/400kV: 2x1500MVA,0,0,0,,,0,0,0,0,0,,ER
Jharkhand,Chandwa,400kV switching,,0,0,,,0,0,0,0,0,,ER
Jharkhand,Dhanbad,400/200kV: 2x500MVA,,500,,2,,,,,,,,ER
Bihar,Banka,"400/132kV: 2x200MVA + 1x315MVA  
400/220kV: 2x500MVA",0,600+700,0,5,0,400,0,0,0,0,"100MW at 132kV level in the existing system and 400MW 
at 220kV level with the implementation of ""Augmentation 
of 400/220kV, 2x500MVA ICT at Banka"" Scheme expected 
by Oct 2024",ER
Bihar,Lakhisarai,400/132kV: 2x200MVA + 1x315MVA,0,300,0,2,0,0,0,0,0,0,132kV level,ER
Bihar,Motihari,400/132kV: 2x200MVA + 1x315MVA,0,500,0,2,0,0,0,0,0,0,132kV level,ER
Bihar,Chandauti,400/220kV: 3x500MVA,0,0,0,0,0,0,0,0,0,0,,ER
Bihar,Muzaffarpur,400/220kV: 2x315MVA + 2x500MVA,0,800,0,3,0,0,0,0,0,0,line corridor  available for 2 lines,ER
Bihar,Saharsa,400/220kV: 2x500MVA,0,700,0,3,0,0,0,0,0,0,,ER
Bihar,Sitamarhi,400/220kV: 2x500MVA,0,800+200,0,4,0,0,0,,,,,ER
Bihar,Gaya,400/220kV: 2x500MVA + 1x315MVA,,2000+1000,,10,,,,,,,,ER
Bihar,Darbhanga,400/220kV: 2x500MVA,0,0,0,0,0,0,0,0,0,0,,ER
Bihar,Kishanganj,400/220kV: 2x500MVA,0,500,0,2,0,0,0,0,0,0,,ER
Bihar,New Purnea,400/220kV: 2x500MVA,0,1000,0,4,0,0,0,0,0,0,,ER
Bihar,Patna,400/220kV: 3x500MVA,0,100,0,2,0,0,0,0,0,0,,ER
Bihar,Purnea,220/132kV: 3x160MVA,0,900,0,3,0,0,0,0,0,0,,ER
Bihar,Sasaram,220/132kV: 3x160MVA,0,600,0,2,0,0,0,0,0,0,,ER
West Bengal,Durgapur-B,400/220kV: 3x315MVA,0,0,,,,,,,,,220kV overloaded in present case under N-1.,ER
West Bengal,Maithon-B,400/220kV: 3x500MVA,0,0,,,,,,,,,220kV overloaded in Base case (Maithon B - Asansol).,ER
West Bengal,Subhasgram,400/220kV: 2x315MVA + 1x500MVA,0,0,0,0,,0,0,0,0,0,"220kV overloaded in present case under N-1 
(Subhasgram).",ER
West Bengal,Jeerat-New,765/400: 2x1500MVA,0,0,0,,0,0,0,0,0,0,400/220kV ICT overloaded in present case under N-1,ER
West Bengal,Medinipur,765/400: 2x1500MVA,0,0,0,,0,0,0,,,,400/220kV ICT overloaded in present case,ER
West Bengal,Alipurduar,400/220kV: 2x315MVA,0,0,,,,,,,,,,ER
West Bengal,Baharampur,400kV switching,0,0,,,,,,,,,,ER
West Bengal,Rajarhat,400/220kV: 3x500MVA,0,0,,,,,,,,,"220kV overloaded in present case under N-1 
(Subhasgram).",ER
West Bengal,Birpara,220/132kV: 2x160MVA,0,0,,,,,,,,,,ER
West Bengal,Dalkhola,220kV switching,0,0,,,,,,,,,,ER
West Bengal,Durgapur-A,400kV switching,0,0,,,,,,,,,,ER
West Bengal,Maithon-A,400kV switching,0,0,,,,,,,,,,ER
West Bengal,Farakka TPS,400/220kV: 2x315MVA,0,0,,,,,,,,,,ER
West Bengal,Malda,400/220kV: 2x500MVA,0,0,,,,,,,,,,ER
West Bengal,New Siliguri,400/220kV: 3x315MVA,0,0,,,,,,,,,132kV overloaded in present case under N-1 (Siliguri).,ER
West Bengal,Siliguri,220/132kV: 2x160MVA,0,0,,,,,,,,,132kV overloaded in present case under N-1 (Siliguri).,ER
