sl_no,state,region,pooling_ss,additional_information_of_pooling_ss,timelines,re_potential_mw,bess_mw,ss_evacuation_capacity_mw,expected_cod_of_pooling_station,connectivity_granted_1_200kv_mw,connectivity_granted_1_400kv_mw,connectivity_granted_1_total_mw,connectivity_granted_2_200kv_mw,connectivity_granted_2_400kv_mw,connectivity_granted_2_total_mw,margin_for_connectivity_200kv_mw,margin_for_connectivity_400kv_mw,margin_for_connectivity_total_mw,additional_margin_200kv_mw,additional_margin_400kv_mw,additional_margin_total_mw,effectiveness_of_gna,remarks
25,Rajasthan,NR,Merta-III,,Between Jul-26 to Dec-31,,,,"Dec'30 to Jun'31 
(HVDC)",900.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,900.0,1100.0,"Beyond 2 GW in Merta/Nagaur complex, HVDC Transmission system 
(6GW)  for  combined capacity  6GW RE  from  Nagaur(Merta) & Pali 
complexes is under planning (Exp. Comm. Schedule up to Jun'31). At 
present 3205MW capacity granted/agreed for grant at Pali and Merta-III 
combindely. Balance capacity 2795MW (6000-3205)( is available for 
connectvity at Pali/Merta-III PS",
26,Ladakh,NR,Pang,Leh,Between Jul-26 to Dec-31,13000.0,0.0,13000.0,2029-30 (VSC HVDC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,13000.0,0.0,0.0,0.0,"Leh - Ensviaged RE Capacity (13 GW) for connnectivity in Ladakh including 
Solar, Wind & BESS. However, net evacaution capacity of HVDC tr. system 
is 5000MW. Connectivity applications in Ladakh are yet to be received.",
27,Rajasthan,NR,Bhadla-V,,Between Jul-26 to Dec-31,6000.0,0.0,6000.0,"Mar'31 to Sep'31 
(HVDC)",1300.0,4700.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"HVDC Transmission system (6GW)  for evacuation of power  from  Bhadla-
V complexes is under planning (Exp. Comm. Schedule up to Sep'31).",
28,Rajasthan,NR,Bhadla-VI,,Between Jul-26 to Dec-31,4830.0,0.0,4830.0,"Mar'32 to Sep'32 
(HVDC)",300.0,0.0,300.0,700.0,2100.0,2800.0,0.0,0.0,0.0,2000.0,900.0,2900.0,"HVDC Transmission system (6GW)  for evacuation of power  from  Bhadla-
VI complexes is under planning (Exp. Comm. Schedule up to Sep'32).",
29,Andhra Pradesh,SR,NP Kunta,,Existing,1500.0,0.0,1500.0,Existing,2200.0,0.0,2200.0,400.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,"1500 MW : Existing Tr. System
5th & 6th ICT (Dec'25)
7th ICT required for appplications beyond 2.5 GW",
30,Karnataka,SR,Pavagada,,Existing,2050.0,0.0,2050.0,Existing,2550.0,0.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2050 MW : Existing Tr. System
500 MW : Dec'25: Narendra-Pune",
31,Tamil Nadu,SR,Tuticorin-II GIS,,Existing,2500.0,0.0,2500.0,Existing,2848.0,0.0,2848.0,100.0,0.0,100.0,52.0,0.0,52.0,,,,"1870 MW : Existing Tr. System
640 MW: Dec'25: Narendra-Pune  & 6th ICT
438 MW : Mar'27 : 7th ICT",
32,Karnataka,SR,Koppal PS,,Existing,2500.0,0.0,2500.0,Existing,2753.0,0.0,2753.0,300.0,0.0,300.0,0.0,0.0,0.0,,,,"1260 MW : Existing Tr. System
1493 MW:Dec'25: Narendra-Pune 
Koppal PS has been closed for all purposes and under process applications 
may not be accommodated.",
33,Tamil Nadu,SR,Karur PS,Phase-1,Existing,1000.0,0.0,1000.0,Existing,918.0,0.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"100 MW : Existing Tr. System
818 MW: Dec'25: Narendra-Pune",
34,Karnataka,SR,Gadag PS,,Existing,2500.0,0.0,2500.0,Existing,2243.0,0.0,2243.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"460 MW : Existing Tr. System
1923 MW: Dec'25: Narendra-Pune",
35,Andhra Pradesh,SR,Kurnool-III PS,,Existing,4500.0,0.0,4500.0,Existing,2250.0,1850.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,"Kurnool-III PS commissioned, entire system expected by Sept'25
Kurnool-III PS has been closed for all purposes.",
36,Tamil Nadu,SR,Karur PS,Phase-II,Between Jul-25 to Dec-25,1500.0,0.0,1500.0,Feb'26,1351.0,0.0,1351.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,"Augmentation of ICTs and transmission line  is required to accommodate 
under process applications 
Entire quantum of the under process applicatiuon cannot be accomadetd",
37,Karnataka,SR,"Koppal-II/ Gadag-II 
Complex",,Between Jul-25 to Dec-25,8000.0,2000.0,6000.0,,6620.0,1800.0,8420.0,635.0,0.0,635.0,600.0,0.0,600.0,0.0,0.0,0.0,,
37a,Karnataka,SR,Koppal-II PS,,Between Jul-25 to Dec-25,4000.0,1000.0,3000.0,Dec'25,3305.0,0.0,3305.0,175.0,0.0,175.0,600.0,0.0,600.0,0.0,,0.0,Dec'25,
37b,Karnataka,SR,Gadag-II PS,,Between Jul-25 to Dec-25,4000.0,1000.0,3000.0,Dec'25,3316.0,1800.0,5116.0,460.0,0.0,460.0,0.0,0.0,0.0,0.0,,0.0,"Dec'25 
PSP  not considered for determination of margins.",
