sl_no,state,region,pooling_ss,additional_information_of_pooling_ss,timelines,re_potential_mw,bess_mw,ss_evacuation_capacity_mw,expected_cod_of_pooling_station,connectivity_granted_1_200kv_mw,connectivity_granted_1_400kv_mw,connectivity_granted_1_total_mw,connectivity_granted_2_200kv_mw,connectivity_granted_2_400kv_mw,connectivity_granted_2_total_mw,margin_for_connectivity_200kv_mw,margin_for_connectivity_400kv_mw,margin_for_connectivity_total_mw,additional_margin_200kv_mw,additional_margin_400kv_mw,additional_margin_total_mw,effectiveness_of_gna,remarks
66a,Gujarat,WR,Khavda I PS,Sec-I,Beyond Dec-25,1500.0,,1500.0,Sec-I ICT: 2026-27,,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Total transformation capacity at Khavda complex  (considering N-1 on each 
section):
KPS1 - Sec-I: 6GW ; Sec-2: 4.5GW
Total KPS1: 10.5GW
KPS2 - Sec-I: 6GW ; Sec-2: 4.5GW
Total KPS2: 10.5GW
KPS3 - Sec-I: 4.5GW ; Sec-2: 4.5GW
Total KPS3: 9GW
Total (KPS1, KPS2 & KPS3): 30GW
Under Process Application received for 1250MW at KPS2 is beyond Phase-
VII system.",
66b,Gujarat,WR,Khavda II PS,Sec-I & II,Beyond Dec-25,1500.0,,1500.0,Sec-I ICT:  2026-27,,250.0,250.0,,1250.0,1250.0,0.0,0.0,0.0,,0.0,0.0,,
66c,Gujarat,WR,Khvada III PS,Sec-I & II,Beyond Dec-25,4500.0,,4500.0,"Sec-II ICTs: Jun-26 
(3x1500) & 
2026-27 (1x1500)",,5140.0,5140.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
66d,Gujarat,WR,Khavda IV PS,Sec-I & II,Beyond Dec-25,0.0,,8750.0,2027-28,,8750.0,8750.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"The Khavda Phase-I to Phase-VII shall be required for enabling evacuation of 
power upto 41.5GW from Khavda area out of which Phase-VI (5.5GW) & 
Phase-VII (6GW HVDC) are under approval stage.",
66e,Gujarat,WR,Khavda V PS,Sec-I,Beyond Dec-25,0.0,,3750.0,2027-28,,3750.0,3750.0,,350.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,"The Khavda Phase-I to Phase-VII shall be required for enabling evacuation of 
power upto 41.5GW from Khavda area out of which Phase-VI (5.5GW) & 
Phase-VII (6GW HVDC) are under approval stage.
Under Process Application received for 350MW at KPS5 is beyond Phase-
VII system.",
67,Maharashtra,WR,Solapur PS,1.5GW,Beyond Dec-25,1500.0,,1500.0,Mar-26 (exptd),2450.0,800.0,3250.0,,2207.0,2207.0,0.0,0.0,0.0,0.0,0.0,0.0,"Solapur Ph-I (1.5GW): Mar-26: Under Implementation
Solapur Ph-II (2GW): On hold pending potential declaration by MNRE
For balance applications received at Solapur PS beyond 3.5GW, additional 
System / Pooling Station may be needed.
200MW margin is available at 400kV which will be allocated to applicants 
in order of priority of applications at Solapur PS.",
68,Madhya Pradesh,WR,Pachora PS,,Beyond Dec-25,2000.0,,2000.0,Feb-26 (exptd),2602.0,,2602.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rajgarh Ph-I(1.5GW): Commissioned, Ph-II (1GW): Under Implementation & 
Ph-III (1.5GW): Under Bidding
NO FURTHER MARGINS ARE AVAILABLE (BEYOND 4000MW AT PACHORA 
PS).",
69,Madhya Pradesh,WR,Mandsaur PS,,Beyond Dec-25,2000.0,,2000.0,Aug-26 (exptd),2998.0,1500.0,4498.0,,2484.0,2484.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aug-26 : Under Implementation
With grant of connectivity under GNA to PSP at 400kV level (1512MW), it 
is considered at PSP shall not inject power under high RE period and hence 
not considered in given table
ICT Augmentation (765/400kV as well as 400/220kV ICTs) shall be required 
at Mandsaur for under process applications, as applicable.
NO FURTHER MARGINS ARE AVAILABLE (BEYOND 4500MW AT MANDSAUR 
PS). Applications received beyond 4500MW would need to be deliberated.",
70,Maharashtra,WR,Dhule PS,,Beyond Dec-25,2000.0,,2000.0,Feb-26 (exptd),1976.0,,1976.0,2245.0,,2245.0,0.0,0.0,0.0,0.0,0.0,0.0,"Feb-26 (SCOD): Under  Implementation. NO FURTHER MARGINS ARE 
AVAILABLE (BEYOND 2000MW. 
Applications received beyond 2000MW would require additional Tr. System 
to be planned.",
71,Gujarat,WR,Jamnagar,,Beyond Dec-25,1000.0,,1000.0,"Sep-26 (extd). 
400/220kV ICT 
Augmentation under 
planning",1000.0,0.0,1000.0,956.0,0.0,956.0,0.0,0.0,0.0,0.0,0.0,0.0,"765/400kV Jamnagar S/s is presently under tendering with time-line of 24 
months from SPV transfer. 
ICT Augmentation shall be required for injection at 220kV level.
Applications received beyond 1000MW would  also require additional Tr. 
System to be planned.",
72,Gujarat,WR,Lakadia-I  PS,,Beyond Dec-25,2000.0,,2000.0,Aug-26 (exptd),2550.0,0.0,2550.0,0.0,,0.0,0.0,,0.0,,,0.0,"Total 3.5GW Capacity planned at Lakadia S/s and NO FURTHER MARGINS 
EXIST AT 220kV LEVEL OF LAKADIA S/s",
73,Gujarat,WR,"Jam Khambhaliya-II / 
Kalyanpur",,Beyond Dec-25,2000.0,,2000.0,2027-28,3500.0,1000.0,4500.0,,450.0,450.0,0.0,0.0,0.0,,,0.0,Substation is under planning for 4.5GW in first phase.,
74,Gujarat,WR,Raghanesda,GIS,Beyond Dec-25,3000.0,,3000.0,"Oct-27
(SCOD)",650.0,2800.0,3450.0,1105.0,5112.0,6217.0,,0.0,0.0,,,0.0,"Substation is under implementation.
NO FURTHER MARGINS ARE NOW AVAILABLE IN UNDER BIDDING SYSTEM. 
After 3.5GW, Augmentation shall be required for RE beyond 3.5GW  at 
Raghanesda PS. Applications are received beyond Substation capacity.",
75,Gujarat,WR,Bhuj-II PS,,Beyond Dec-25,0.0,,0.0,"0.5GW: Nov'26 & 
1.5GW: Dec'26",1442.0,,1442.0,0.0,2759.0,2759.0,,0.0,0.0,0.0,0.0,0.0,"NO FURTHER MARGINS ARE NOW AVAILABLE.
For applications received beyond 2000MW, augmentation needs to be 
taken up. 
500MW (350+50+100MW) Connectivity of Acme has been revoked based 
on applicants request. Further, 300MW Connectivity of Inox has been 
revoked under non-compliance of 24.6. The margin would be allocated to 
applicants after reallocation exercise in order of priority at Bhuj complex.",
76,Gujarat,WR,Jam Khambhaliya PS,,Beyond Dec-25,1000.0,,1000.0,May'26,1031.0,951.0,1982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Augmentation of 400/220kV ICTs is required.  Margins are shown 
considering 9th ICT at JK PS as confirmed by JKTL. 
NO FURTHER MARGINS ARE NOW AVAILABLE.",
77,Madhya Pradesh,WR,Ishanagar,,Beyond Dec-25,0.0,,0.0,Feb'26,0.0,650.0,650.0,,630.0,630.0,,0.0,0.0,,,0.0,Under Implementation. No further margins available at the substation.,
78,Madhya Pradesh,WR,Kurawar,,Beyond Dec-25,0.0,,0.0,Sep'26,0.0,,0.0,,950.0,950.0,,,0.0,350.0,,350.0,Under Implementation,
79,Madhya Pradesh,WR,Neemuch PS,,Beyond Dec-25,0.0,,0.0,2027-28,1050.0,,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Neemuch Ph-I(1GW): Commissioned, Ph-II (1GW): Under Bidding.
NO FURTHER MARGINS ARE AVAILABLE (BEYOND 2000MW AT NEEMUCH 
PS).",
80,Gujarat,WR,Lakadia PS-II,Near Chitrod,Beyond Dec-25,0.0,,0.0,2027-28,3879.0,3621.0,7500.0,0.0,795.0,795.0,0.0,0.0,0.0,0.0,0.0,0.0,"Substation is uner planning for 7.5GW. Applications received beyond 7.5GW 
cannot be accomodated at this substation.",
81,Gujarat,WR,Bhuj PS,,Beyond Dec-25,500.0,,500.0,2026-27,460.0,,460.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Margin of 76.4MW is being requested by pending applicants at Bhuj-II PS. 
Hence, no margin is left. Further, 93.5MW Connectivity of Netra & 2.1MW of 
Avikiran has been revoked under non-compliance of 24.6. The margin would 
be allocated to applicants in order of priority after reallocation exercise at 
Bhuj complex.",
82,Madhya Pradesh,WR,Morena PS,Ph-I,Beyond Dec-25,2500.0,,2500.0,2027-28,1550.0,750.0,2300.0,350.0,500.0,850.0,0.0,0.0,0.0,850.0,0.0,850.0,"Ph-I (2.5GW) under bidding stage. For applications beyond 2.5GW, additional 
transmission system is being planned.",
83,Gujarat,WR,Mahuva Offshore PS,Ph-I,Beyond Dec-25,500.0,,500.0,2029,0.0,,0.0,0.0,,0.0,500.0,,500.0,0.0,0.0,0.0,Scheme under implementation by POWERGRID with SCOD of Mar-29,
84,Assam,NER,Bokajan,,Beyond Dec-25,1000.0,0.0,1000.0,Dec-26 (exptd),0.0,750.0,750.0,0.0,0.0,0.0,0.0,250.0,250.0,1500.0,0.0,1500.0,Under Implementation,
