page,source_table_id,raw_data,region,state,district,complex,s_s,location_village_tehsil,solar,wind,hybrid,others_ctuil,re_potential_gw,installed_capacity,uc_granted_capacity,transmission_scheme,complex_2,remarks
40,131,"['', '', 'Kurnool –III PS – Maheshwaram (PG) 765 kV  D/c Line']",,,,,,,,,,,,,,,,
42,133,"['Transmission system for evacuation of power from REZ in Rajasthan (20 GW) under Phase III:', '', '']",,,,,,,,,,,,,,,,
42,133,"['', 'REZ in Rajasthan (20 GW) under Phase III - Part A1', 'Fatehgarh-IV']",,,,,,,,,,,,,,,,
42,133,"['', 'REZ in Rajasthan (20 GW) under Phase III - Part A3', 'Switchable \nline \nreactor \nfor  each  circuit  at  both  ends  of']",,,,,,,,,,,,,,,,
42,133,"['', 'REZ in Rajasthan (20 GW) under Phase III - Part B1', '400/220 kV pooling station at Bhadla-III']",,,,,,,,,,,,,,,,
42,133,"['', 'REZ in Rajasthan (20 GW) under Phase III - Part C1', '400/220 kV pooling station at Ramgarh']",,,,,,,,,,,,,,,,
42,133,"['', 'REZ in Rajasthan (20 GW) under Phase III - Part D', '']",,,,,,,,,,,,,,,,
42,133,"['', 'REZ in Rajasthan (20 GW) under Phase III - Part F', 'suitable location near Beawar']",,,,,,,,,,,,,,,,
42,133,"['', 'REZ in Rajasthan (20 GW) under Phase III - Part G', 'MVAr Switchable line reactor for each circuit at each end of']",,,,,,,,,,,,,,,,
59,153,"['C1.      Tentative phasing of Transmission System for 51 GW REZ (18 GW Wind & 33 GW Solar) in Andhra Pradesh', '']",,,,,,,,,,,,,,,,
59,154,"['Kurnool-IV', '4', '7.5', '11.5', '3', '2', '2.5', '4.5', '0']",,,,,,,,,,,,,,,,
59,154,"['Kurnool-V', '4', '7.5', '11.5', '3', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
59,154,"['Anantapur', '2', '2', '4', '1', '2', '1.5', '3.5', '0']",,,,,,,,,,,,,,,,
59,154,"['Anantapur-II', '8', '8', '16', '4', '0', '4', '4', '0']",,,,,,,,,,,,,,,,
60,155,"['Kurnool-IV', '4', '7.5', '11.5', '3', '2', '2', '4', '3']",,,,,,,,,,,,,,,,
60,155,"['Kurnool-V', '4', '7.5', '11.5', '3', '1', '4.5', '5.5', '0']",,,,,,,,,,,,,,,,
60,155,"['Anantapur', '2', '2', '4', '1', '0', '0', '0', '0']",,,,,,,,,,,,,,,,
60,155,"['Anantapur-II', '8', '8', '16', '4', '4', '1', '5', '2']",,,,,,,,,,,,,,,,
60,156,"['1.', 'Transmission System for integration of Kurnool REZ-I (2 GW Solar, 2 GW Wind, 3 BESS)']",,,,,,,,,,,,,,,,
60,156,"['', '• \nAugmentation of 1x1500 MVA, 765/400 kV and 2x500 MVA, 400/220 kV ICTs at Kurnool-IV Pooling Station']",,,,,,,,,,,,,,,,
60,156,"['', '• \nKurnool-IV – Bidar PS 765 kV D/c line with 240 MVAr SLR at both ends (~280 km)']",,,,,,,,,,,,,,,,
60,156,"['2.', 'Transmission System for integration of Kurnool REZ-II (4.5 GW Solar, 1 GW Wind, 2 BESS)']",,,,,,,,,,,,,,,,
60,156,"['', '• \nEstablishment of 3x1500 MVA, 765/400 kV & 5x500 MVA, 400/220 kV Kurnool-V Pooling Station near Kurnool, Andhra']",,,,,,,,,,,,,,,,
60,156,"['', 'Pradesh along with 2x330 MVAr (765 kV) & 2x125 MVAr (400 kV) bus reactors at Kurnool-V PS']",,,,,,,,,,,,,,,,
60,156,"['', '• \nKurnool-V – Kurnool-IV 765 kV D/c line (~100 km)']",,,,,,,,,,,,,,,,
60,156,"['3.', 'Transmission System for integration of Anantapur REZ (1 GW Solar, 4 GW Wind, 2 BESS)']",,,,,,,,,,,,,,,,
60,156,"['', '• \nAugmentation of 1x1500 MVA, 765/400 kV and 2x500 MVA, 400/220 kV ICTs at Anantapur-II Pooling Station Andhra']",,,,,,,,,,,,,,,,
60,156,"['', '• \nAnantapur-II – Kurnool-V PS 765 kV D/c line (~100 km)']",,,,,,,,,,,,,,,,
60,156,"['', 'Andhra Pradesh along with 2x330 MVAr (765 kV) & 2x125 MVAr (400 kV) bus reactors at Kadapa-II PS']",,,,,,,,,,,,,,,,
60,156,"['', '• \nLILO of both circuits of Anantapur-II – Cuddapah 765 kV D/c line at Kadapa-II PS (~10 km)']",,,,,,,,,,,,,,,,
61,157,"['1.', 'Transmission System for integration of Kurnool REZ-II (6 GW Solar, 3 GW Wind, 3 BESS)']",,,,,,,,,,,,,,,,
61,157,"['', '• \nAugmentation  of  2x1500  MVA,  765/400  kV  and  2x500  MVA,  400/220  kV  ICTs  at  Kurnool-V  Pooling  Station  near']",,,,,,,,,,,,,,,,
61,157,"['', '• \nKurnool-V – Chilakaluripeta 765 kV D/c line with 330 MVAr SLR at Kurnool-V PS end (~210 km)']",,,,,,,,,,,,,,,,
61,157,"['2.', 'Transmission System for integration of Anantapur REZ (3.5 GW Solar, 4 GW Wind, 3 BESS)']",,,,,,,,,,,,,,,,
61,157,"['', '• \nAugmentation of 1x1500 MVA, 765/400 kV, and 2x500 MVA, 400/220 kV, ICTs at Anantapur-II PS']",,,,,,,,,,,,,,,,
61,157,"['', '• \nAugmentation of 1x1500 MVA, 765/400 kV and 2x500 MVA, 400/220 kV ICT at Kadapa-II PS, Andhra Pradesh']",,,,,,,,,,,,,,,,
64,163,"['C4.  Transmission System for 5 GW Offshore wind farm (Sub Zone B1 to B4 & G1 to G3) in Tamil Nadu', '', '', '']",,,,,,,,,,,,,,,,
