state,name_of_station,capacity_mva,capacity_allocated_mw,margin_existing_220kv,margin_existing_400kv,line_bays_existing_220kv,line_bays_existing_400kv,margin_ict_220kv,margin_ict_400kv,line_bays_ict_220kv,line_bays_ict_400kv,transformers_required,remarks
Odisha,Keonjhar,400/220kV: 2x315MVA,0,800,0,3,,,,,,,
Odisha,Pandiabil,400/220kV: 3x500MVA,0,0,0,,,,,,,,
Odisha,Rengali,400/220kV: 2x315MVA,0,500,0,2,,,,,,,
Odisha,Angul,765/400: 4x1500MVA,0,0,0,,,,,,,,
Odisha,Baripada,"400/220/132: 2x315MVA + 1x500MVA 
+ 2x160MVA",,300,,2,,,,,,,
Odisha,Bolangir,400/220kV: 2x315MVA,,0,,,,,,,,,
Odisha,Indravati,400/220kV: 1x315MVA,,0,,,,,,,,,
Odisha,Rourkela,400/220kV: 4x315MVA,,0,,,,,,,,,
Odisha,"Sundargarh B 
(Jharsuguda)",765/400: 2x1500MVA,,,2500,,3,,,,,,
Odisha,Paradeep,765/400: 2x1500MVA,,,3000,,3,,,,,,
Odisha,Gopalpur,765/400: 2x1500MVA,,,3000,,3,,,,,,
Jharkhand,Chaibasa,400/220kV: 2x315MVA,0,500,0,2,,0,0,0,0,0,
Jharkhand,Daltonganj,400/220kV: 2x315MVA,0,500,0,2,,0,0,0,0,0,
Jharkhand,Ranchi,400/220kV: 2x315MVA + 1x500MVA,,800,,3,,0,0,0,,0,
Jharkhand,Ranchi (New),765/400kV: 2x1500MVA,0,0,0,,,0,0,0,0,0,
Jharkhand,Chandwa,400kV switching,,0,0,,,0,0,0,0,0,
Jharkhand,Dhanbad,400/200kV: 2x500MVA,,500,,2,,,,,,,
Bihar,Banka,"400/132kV: 2x200MVA + 1x315MVA  
400/220kV: 2x500MVA",0,600+700,0,5,0,400,0,0,0,0,"100MW at 132kV level in the existing system and 400MW 
at 220kV level with the implementation of ""Augmentation 
of 400/220kV, 2x500MVA ICT at Banka"" Scheme expected 
by Oct 2024"
Bihar,Lakhisarai,400/132kV: 2x200MVA + 1x315MVA,0,300,0,2,0,0,0,0,0,0,132kV level
Bihar,Motihari,400/132kV: 2x200MVA + 1x315MVA,0,500,0,2,0,0,0,0,0,0,132kV level
Bihar,Chandauti,400/220kV: 3x500MVA,0,0,0,0,0,0,0,0,0,0,
